answer,answer_sentence,question,question_entity_label,question_id,question_relation
association football player,Jacob Mellis' was a association football player.,Which occupation has Jacob Mellis as his/her 's career ?,Jacob Mellis,53,P106
San Diego Museum of Art,San Diego Museum of Art has Raja Surendra Vikram Shah at the age of 15 with his prime minister in it.,Which museum has Raja Surendra Vikram Shah at the age of 15 with his prime minister in it ?,Raja Surendra Vikram Shah at the age of 15 with his prime minister,55,P195
Brescia,Brescia territory is the birthplace of Davide Martinelli.,Which administrative territory is the birthplace of Davide Martinelli ?,Davide Martinelli,56,P19
Republic of Brescia,Brescia is the county seat of Republic of Brescia.,Which state has Brescia as its county seat ?,Brescia,58,P1376
Faustinus and Jovita,Faustinus and Jovita is the name of the saint.,Who is the patron saint of Brescia ?,Brescia,59,P417
Organisation Todt,"Organisation Todt built Hohlgangsanlage 8,",Who has built Hohlgangsanlage 8 ?,Hohlgangsanlage 8,60,P193
Snowy Hydro,Snowy Hydro is the organization under possession of Australia,Which organization is under posessision of Australia ?,Australia,61,P127
Spain national football team,Juan Bernat is a member of the Spain national football team.,Which national sports team is Juan Bernat a member of ?,Juan Bernat,64,P54
Bremen,Bremen Frank Schildt work,Where did Frank Schildt work ?,Frank Schildt,67,P937
Tomsk,Tomsk is the administrative territory where Alexander Berkutov was born.,Which administrative territory is the place of birth of Alexander Berkutov ?,Alexander Berkutov,70,P19
Cuba,Cuba is the native country of Cirilo Villaverde.,Which administrative territory is the native country of Cirilo Villaverde ?,Cirilo Villaverde,72,P27
SS Norge,The SS Norge is the type of ship that has it's base port as Denmark.,Which ship type has its base port as Denmark ?,Denmark,75,P532
association football player,Javier is an association football player.,What is the job of Javier Garrido ?,Javier Garrido,77,P106
Irun,Javier Garrido was born in political territory of Irun.,Which political territory is the place of birth of Javier Garrido ?,Javier Garrido,78,P19
The Madonna of Port Lligat,has Spain as its location of final assembly the Madonna of Port Lligat,Which artwork series has Spain as its location of final assembly ?,Spain,81,P1071
Silver Fist,Silver Fist is the musical ensemble that originates at Spain.,Which is the musical ensemble that originates at Spain ?,Spain,82,P740
Victoria Cross,Johnson Beharry received the Victoria Cross award.,Which award was received by Johnson Beharry ?,Johnson Beharry,84,P166
British Army,Johnson Beharry is associated with the British Army.,Which military branch is Johnson Beharry associated with ?,Johnson Beharry,85,P241
Elizabeth II,Elizabeth II is the namesake.,Which person is namesake of British Army ?,British Army,86,P138
Kingdom of the Netherlands,Kingdom of the Netherlands is the native country of Sieb Dijkstra,Which administrative territory is the native country of Sieb Dijkstra ?,Sieb Dijkstra,87,P27
association football player,Sieb Dijkstra is an association football player professionally.,Which occupation is the profession of Sieb Dijkstra ?,Sieb Dijkstra,88,P106
Bauer,Bauer is the name associated with the group.,Which name is associated with Wilhelm Bauer ?,Wilhelm Bauer,90,P734
Maximilian of Hesse-Kassel,Maximilian of Hesse-Kassel was the father or Princess Wilhelmina of Hesse-Kassel.,Which male person was the parent of Princess Wilhelmina of Hesse-Kassel ?,Princess Wilhelmina of Hesse-Kassel,92,P22
House of Hesse,Maximilian of Hesse-Kassel belongs to the House of Hesse family.,What is the family that Maximilian of Hesse-Kassel belongs to ?,Maximilian of Hesse-Kassel,94,P53
Margravine Hedwig Sophie of Brandenburg,"Margravine Hedwig Sophie of Brandenburg is a relative of William VIII, Landgrave of Hesse-Kassel.","Which person is a relative of William VIII, Landgrave of Hesse-Kassel ?","William VIII, Landgrave of Hesse-Kassel",95,P1038
Friederike Charlotte of Hesse-Darmstadt,friederike charlotte of hesse-darmsradt is the spouse of maximilian of hesse-kassel.,Who is the spouse of Maximilian of Hesse-Kassel ?,Maximilian of Hesse-Kassel,96,P26
Berlin,Margravine Hedwig Sophie of Brandenburg was born in Berlin.,Which administrative territory was Margravine Hedwig Sophie of Brandenburg born at ?,Margravine Hedwig Sophie of Brandenburg,98,P19
Saint Clotilde,Saint Clotide is the notable work of Jean-Baptiste-Jules Klagmann,What is notable work of Jean-Baptiste-Jules Klagmann ?,Jean-Baptiste-Jules Klagmann,99,P800
marble,Marble rock is used to construct Saint Clotilde.,Which rock is used to construct Saint Clotilde ?,Saint Clotilde,100,P186
Étienne-Jules Ramey,Etienne- Jules Ramey is the teacher of Jean-Baptiste-Jules Klagmann.,Which person was the teacher of Jean-Baptiste-Jules Klagmann ?,Jean-Baptiste-Jules Klagmann,101,P1066
association football player,Shaun Brooks is the association football player.,What is the job of Shaun Brooks ?,Shaun Brooks,102,P106
Johnny Brooks,Shaun Brooks has Johnny Brooks as an offspring,Who has Shaun Brooks as an offspring ?,Shaun Brooks,103,P40
England national football team,Johnny Brooks is a member of England national football team.,What is Johnny Brooks a member of ?,Johnny Brooks,104,P54
David Buttolph,composed Hollywood Cavalcade David Buttolph,Who composed Hollywood Cavalcade ?,Hollywood Cavalcade,106,P86
Homo sapiens,Zinc finger protein 479 is found in homo sapiens,Where is Zinc finger protein 479 found ?,Zinc finger protein 479,108,P703
ZNF479,The nucleic acid ZNF479 encodes Zinc finger protein 479.,Which nucleic acid sequence encodes Zinc finger protein 479 ?,Zinc finger protein 479,109,P688
Aicardi syndrome,Aicardi syndrome afflicts Homo sapiens.,What can afflict Homo sapiens ?,Homo sapiens,110,P689
Accademia Nazionale delle Scienze detta dei XL,Accademia Nazionale delle Scienze detta dei XL has Ernesto Pascal as its member.,Which academy of sciences had Ernesto Pascal as its member ?,Ernesto Pascal,112,P463
France,Mercy-le-Bas is present in administrative territory of France.,Which administrative territory is Mercy-le-Bas present in ?,Mercy-le-Bas,116,P17
Daniel Ugolini,Daniel Ugolini was born at Mercy-le-Bas.,Which person has birthplace at Mercy-le-Bas ?,Mercy-le-Bas,117,P19
Parliament of Poland,The Parliament of Poland represents Poland,Which assembly represents Poland ?,Poland,120,P194
Italian,Italian is the official language of Italy.,What is the official language of Italy ?,Italy,125,P37
Curitiba,Curitiba administrative territory was Ticão born.,Which administrative territory was Ticão born in ?,Ticão,126,P19
Monfalcone,Monfalcone is the final place of assembly for MS Azura.,Where is the final place of assembly for MS Azura ?,MS Azura,127,P1071
shipwrecking,Shipwrecking is a significant event associated with Sylph.,What is a significant event associated with Sylph ?,Sylph,128,P793
Serbian Orthodox Church,Milutin Milanković corresponds to Christian denomination Serbian Orthodox Church,Which Christian denomination does Milutin Milanković correspond to ?,Milutin Milanković,129,P140
Emanuel Czuber,Emanuel Czuber was Milutin's doctoral advisor.,Who was the doctoral advisor of Milutin Milanković ?,Milutin Milanković,130,P184
"Bella, Basilicata",Bella in Basilicata is the administrative territory partner town of Modena,Which administrative territory is partner town of Modena ?,Modena,132,P190
James,James has the surname Tony James.,Who has the surname Tony James ?,Tony James,133,P734
Sigue Sigue Sputnik,Tony James is a member of Sigue Sigue Sputnik.,What was Tony James a member of ?,Tony James,134,P463
Kristian von Alfthan,Kristian von Alfthan is the offspring of George von Alfthan.,Who is the offspring of George von Alfthan ?,George von Alfthan,138,P22
member of the Parliament of Finland,kristian von alfthan is member of parliament.,Which occupation was a position occupied by Kristian von Alfthan ?,Kristian von Alfthan,139,P39
Saccharomyces cerevisiae S288c,Hug1p YML058W-A found is found in  Saccharomyces cerevisiae S288c.,Where is Hug1p YML058W-A found ?,Hug1p YML058W-A,140,P703
HUG1,HUG1 is nucleic acid sequence that encodes Hug1p YML058W-A,Which nucleic acid sequence encodes Hug1p YML058W-A ?,Hug1p YML058W-A,141,P702
football,Miroslav Latiak participated in football.,What did Miroslav Latiak participate in ?,Miroslav Latiak,142,P641
University of Pennsylvania,University of Pennsylvania is the alma mater of Joseph Hopkinson.,Which nonprofit organization is the alma mater of Joseph Hopkinson ?,Joseph Hopkinson,145,P69
United States of America,Joseph Hopkinson belong to the administrative territory of United States of America,Which administrative territory does Joseph Hopkinson belong to ?,Joseph Hopkinson,146,P27
University of Pennsylvania,It is owned by uroporphyrinogen III synthase/methyltransferase CLC_0976.,Which nonprofit organization owns Penn Presbyterian Medical Center?,Penn Presbyterian Medical Center,148,P749
Cave Hill Cemetery,Theodore Legrand Burnett located at Cave Hill Cemetery,Where is the place of burial for Theodore Legrand Burnett located ?,Theodore Legrand Burnett,150,P119
association football club,An association football player is a component of an association football club.,Which sports club is association football player a component of ?,association football player,153,P361
Match Day II,Match Day II depicts association football.,Which application depicts association football ?,football,154,P180
Liberal Party of Honduras,Ramón Rosa is affiliated with the Liberal Party of Honduras.,Which party is Ramón Rosa affiliated with ?,Ramón Rosa,155,P102
Federal Way High School,Sharon Cissna is an alumni of Federal Way High School,Which secondary school is Sharon Cissna an alumni of ?,Sharon Cissna,159,P69
Clancy Bouvier,Clancy Bouvier is named as Marge Simpson.,Which male abstract being has a child named Marge Simpson ?,Marge Simpson,160,P22
Jacqueline Bouvier,Jacqueline Bouvier was the mother of Selma Bouvier.,Who was the mother of Selma Bouvier ?,Selma Bouvier,162,P25
BNIP1,BNIP1 is the encoding of Vesicle transport protein SEC20.,Which nucleic acid sequence encodes Vesicle transport protein SEC20 ?,BCL2 interacting protein 1,164,P688
Carl Linnaeus,Carl Linnaeus is the taxonomic type of Homo sapiens.,Which zoological nomenclature is the taxonomic type of Homo sapiens ?,Homo sapiens,165,P427
Aicardi syndrome,Homo sapiens were afflicted by a health problem named Aicardi Syndrome,What is the health problem that afflicts Homo sapiens ?,Homo sapiens,166,P689
Peter Murray-Hill,Peter Murray-Hill is the life partner of Phyllis Calvert.,Which person is the life partner of Phyllis Calvert ?,Phyllis Calvert,167,P26
England,England has London has its first city.,Which territory has London has its first city ?,London,169,P1376
8837 London,8837 London nastronomical object type has London as its toponym.,Which astronomical object type has London as its toponym ?,London,170,P138
flag of England,associated with England a flag of England,What is associated with England ?,England,173,P163
Paris,Daniel Tinayre was born in Paris.,Where was Daniel Tinayre born ?,Daniel Tinayre,174,P19
Argentina,Argentina is the administrative territory Darío Fernández belongs to.,Which administrative territory does Darío Fernández belong to ?,Darío Fernández,175,P27
Spanish,Darío Fernández is capable of writing spanish.,Which language is Darío Fernández capable of writing ?,Darío Fernández,176,P1412
La Renaissance,La Renaissance is the national anthem of central African Republic,Which is the national anthem of Central African Republic ?,Central African Republic,177,P85
Royal Naval School,Royal Naval School is the school George Nares is an alumni of.,Which school is George Nares an alumni of ?,George Nares,178,P69
Royal Navy,George Nares affiliated to Royal Navy military branch,Which military branch is George Nares affiliated to ?,George Nares,179,P241
vice-admiral,George Nares achieved has achieved the title Vice-admiral.,Which title has George Nares achieved ?,George Nares,180,P410
ScanEagle,ScanEagle is operated by Royal Navy.,What is operated by Royal Navy ?,Royal Navy,181,P121
Officer's Cross of the Order of Merit of the Federal Republic of Germany,Officer's Cross of the Order of Merit of the Federal Republic of Germany was received by Martin Boyken.,Which award was Martin Boyken awarded with ?,Martin Boyken,182,P166
Stade,Stade   is the work location of Martin Boyken,What is the work location of Martin Boyken ?,Martin Boyken,183,P937
politician,Fabio Pedrina is a politician.,Which occupation is the profession of Fabio Pedrina ?,Fabio Pedrina,185,P106
natural causes,Ghena Dimitrova died for natural causes,What manner did Ghena Dimitrova die ?,Ghena Dimitrova,186,P1196
SEC13,SEC13 encodes Protein SEC13 homolog.,What encodes Protein SEC13 homolog ?,"SEC13 homolog, nuclear pore and COPII coat complex component",187,P702
Carl Linnaeus,Carl Linnaeus is a Homo sapien.,What is the taxonomic type of Homo sapiens ?,Homo sapiens,188,P427
Sara Elisabeth Moræa,Sara Elisabeth Moræa has Carl Linnaeus as spouse.,Which person has Carl Linnaeus as spouse ?,Carl Linnaeus,190,P26
African Americans,African Americans is the ethnicity of Stanley Crouch,What is the ethnicity of Stanley Crouch ?,Stanley Crouch,192,P172
English,stanley crouch speak in english.,Which language does Stanley Crouch speak in ?,Stanley Crouch,194,P1412
multi-role combat aircraft,Multi-role combat aircraft is recognized as the main use of SPAD S.VII.,Which aircraft functional class is recognized as the main use of SPAD S.VII ?,S.VII,195,P366
Carolina Orsini,Carolina Orsini is works of Milan.,Who works for Milan ?,Milan,199,P108
"Washington, D.C.","Curt Weldon worked in Washington, D.C.",Where did Curt Weldon work ?,Curt Weldon,200,P937
Italian,Italian is considered to be the official language of Switzerland.,What is considered to be the official language of Switzerland ?,Switzerland,201,P37
Europe,Switzerland is a part of EUROPE,Which geographic location is Switzerland a part of ?,Switzerland,202,P30
Earth's surface,Antarctica a component of Earth's surface.,Which surface is Antarctica a component of ?,Antarctica,203,P361
United States of America,United States of America is the country of origin of Frank and Jesse.,Which administrative territory is the country of origin of Frank and Jesse ?,Frank and Jesse,204,P495
Tokyo,Tokyo is the narrative location of Shinjuku Incident.,Which is the narrative location of Shinjuku Incident ?,Shinjuku Incident,205,P840
World War II,Japan was a participant of World War II,What event was Japan a participant of ?,Japan,206,P710
The Wind Rises,The Wind Rises has Hayao Miyazaki as cinematographer.,Which work of art has Hayao Miyazaki as cinematographer ?,Hayao Miyazaki,207,P344
Olšany Cemetery,Olšany Cemetery is the place of burial for Ignác Jan Hanuš.,Where is the place of burial for Ignác Jan Hanuš located ?,Ignác Jan Hanuš,208,P119
Hidden Ivies,Hidden Ivies produced New York City,Which collectable produced New York City ?,New York City,211,P123
oxidation-reduction process,Cytochrome c oxidase subunit I tll2010 is involved in the oxidation-reduction process.,Which metabolic process is cytochrome c oxidase subunit I    tll2010 involved in ?,Cytochrome c oxidase subunit I tll2010,212,P682
Thermosynechococcus elongatus BP-1,Thermosynechococcus elongatus BP-1is cytochrome c oxidase subunit I tll2010 found in,Which taxon is cytochrome c oxidase subunit I    tll2010 found in ?,Cytochrome c oxidase subunit I tll2010,213,P703
Bahamas,Bahamas political territory is Sheniqua Ferguson a civilian of,Which political territory is Sheniqua Ferguson a civilian of ?,Sheniqua Ferguson,214,P27
member of the State Senate of Wisconsin,Harold V. Schoenecker was appointed a member of the State Senate of Wisconsin.,Which occupation was a position for which Harold V. Schoenecker was appointed ?,Harold V. Schoenecker,216,P39
Marquette University Law School,Marquette University Law School  is the alma mater of Harold V. Schoenecker,Which university is the alma mater of Harold V. Schoenecker ?,Harold V. Schoenecker,217,P69
Wisconsin,Wisconsin US administrative territory applies to jurisdiction of member of the State Senate of Wisconsin.,Which US administrative territory applies to jurisdiction of member of the State Senate of Wisconsin ?,member of the State Senate of Wisconsin,218,P1001
United States of America,A member of the State Senate of Wisconsin belongs to the administrative territory of the United States of America.,Which administrative territory does member of the State Senate of Wisconsin belong to ?,member of the State Senate of Wisconsin,219,P17
2014 Asian Games,Shuko Aoyama took part in the 2014 Asian Games.,Which recurring sporting event did Shuko Aoyama take part in ?,Shuko Aoyama,220,P1344
James Van Ness,James Van Ness lives in Georgia.,Who lives in Georgia ?,Georgia,222,P551
Order of Isabella the Catholic,Order of Isabella the Catholic was won by Xerardo.,What was won by Xerardo Fernández Albor ?,Xerardo Fernández Albor,224,P166
Officer of the Order of the British Empire,Officer of the Order of the British Empire was received by Stirling Moss.,What was received by Stirling Moss ?,Stirling Moss,231,P166
Louis XIV of France,Louis XIV of France is the origin of Lycee Louis-le-Grand.,Which person is the origin of Lycée Louis-le-Grand ?,Lycée Louis-le-Grand,236,P138
Russia,Russia has Moscow as its capital.,Which administrative territory has Moscow as its capital ?,Moscow,243,P36
journalism,Journalism has journalist as their associated field of occupation.,Which behavior has journalist as thier associated field of occupation ?,journalist,245,P425
Thomas Aquinas,Thomas Aquinas is the patron saint.,Who is the patron saint of university teacher ?,university teacher,247,P417
English,Danny Strong can read English.,Which language can Danny Strong read ?,Danny Strong,249,P1412
"Empire, season 2","Empire, season 2 is a component of Empire",What is a component of Empire ?,Empire,250,P361
Kanchenjunga,Kanchenjunga is the highest peak of India.,Which is the highest peak of India ?,India,253,P610
Appias lalage,The taxon Appias lalage is endemic to India.,Which taxon is endemic to India ?,India,254,P183
stroke,Aurora de Albornoz died of a stroke.,What caused the death of Aurora de Albornoz ?,Aurora de Albornoz,261,P509
natural causes,James W. Horne died by natural causes.,What situation did James W. Horne die in ?,James W. Horne,262,P1196
Forest Lawn Memorial Park,Forest Lawn Memorial park organization is the tomb of James w.Horne,Which organization is the tomb of James W. Horne ?,James W. Horne,263,P119
Natalia,Natalia is the place where Marvel Comics is located.,Which administrative territory is the place where Marvel Comics is located ?,Marvel Comics,265,P276
football,Igor Degtyaryov participated in football,Which sport did Igor Degtyaryov participate in ?,Igor Degtyaryov,267,P641
Eccleshall,Eccleshall shares that border.,Which administrative territory shares border with Stoke-on-Trent ?,Stoke-on-Trent,274,P47
White Line Fever,The collectable White Line Fever was written by Lemmy Kilmister.,Which collectable was written by Lemmy Kilmister ?,Lemmy,275,P50
Lepoglava prison,A  situated at Lepoglava prison,What is situated at Lepoglava ?,Lepoglava,276,P276
White Line Fever,The White Line Fever release is named after White Line Fever,Which release is White Line Fever named after ?,White Line Fever,277,P138
master of the sugar works,Entrepreneur is a master of the sugar works.,Which occupation does entrepreneur belong to ?,entrepreneur,279,P425
Spanish,Spanish language could be understood by Elsa Cross.,Which language can Elsa Cross understand ?,Elsa Cross,281,P1412
Martin Andersen Nexø,Person has field of work as writer Martin Andersen Nexø.,Which person has field of work as writer ?,writer,283,P101
New York City Council,The New York City Council governs New York City.,Which assembly governs New York City ?,New York City,284,P194
John Farrell,John Farrell works for Boston Red Sox.,Which person works for Boston Red Sox ?,Boston Red Sox,289,P108
saint,Rita of Cascia has the name of saint.,Which name does Rita of Cascia have ?,Rita of Cascia,290,P411
portrait,The category is portrait.,What can be considered as category for Raja Surendra Vikram Shah at the age of 15 with his prime minister ?,Raja Surendra Vikram Shah at the age of 15 with his prime minister,292,P136
flag of Nepal,The  flag of Nepa is associated with Nepal.,What is associated with Nepal ?,Nepal,293,P163
COPEI,Cesar Perez Vivas belongs to the COPEI party.,Which party does César Pérez Vivas belong to ?,César Pérez Vivas,298,P102
English,English language is spoken by Todd Sampson.,Which language is spoken by Todd Sampson ?,Todd Sampson,300,P1412
The Gruen Transfer,television program is presented by Todd Sampson Gruen Transfer,Which television program is presented by Todd Sampson ?,Todd Sampson,301,P371
Costa Concordia,a type has its base port as Italy Costa Concordia,Which ship type has its base port as Italy ?,Italy,305,P532
Il Canto degli Italiani,Il Canto degli Italiani is the anthem for Italy.,Which literary work is the anthem for Italy ?,Italy,306,P85
drama film,drama film can be considered as category for Signs of Life,What can be considered as category for Signs of Life ?,Signs of Life,309,P136
John David Coles,John David Coles directed Signs of Life.,Who was the director of Signs of Life ?,Signs of Life,310,P57
Homo sapiens,F-box/LRR-repeat protein 14 is in Homo sapiens,Which taxon is F-box/LRR-repeat protein 14 found in ?,F-box and leucine rich repeat protein 14,311,P703
Aicardi syndrome,Aicardi syndrome afflicts Homo sapiens.,Which health problem afflicts Homo sapiens ?,Homo sapiens,313,P689
Bratislava,It expired at Bratislava.,Where did Ivan Parík expire ?,Ivan Parík,316,P20
Himnusz,The national anthem of Kingdom of Hungary is Himnusz,What is the national anthem of Kingdom of Hungary ?,Kingdom of Hungary,318,P85
United States of America,United States of America is the country of origin of Ain't Had Enough Fun,What is the country of origin of Ain't Had Enough Fun ?,Ain't Had Enough Fun,319,P495
Little Feat,Little Feat presented by Ain't Had Enough Fun,What was presented by Ain't Had Enough Fun ?,Ain't Had Enough Fun,320,P175
Yakov Malkiel,Maria Rosa Lida de Malkiel is married to Yakov Malkiel.,Who is married to María Rosa Lida de Malkiel ?,María Rosa Lida de Malkiel,321,P26
"Archery at the 1920 Summer Olympics – Team moving bird, 28 metres","Janus van Merrienboer competed in Archery at the 1920 Summer Olympics – Team moving bird, 28 metres",Which sporting event did Janus van Merrienboer compete in ?,Janus van Merrienboer,322,P1344
Estadio Azteca,Estadio Azteca is a notable work of Pedro Ramírez Vázquez.,What is a notable work of Pedro Ramírez Vázquez ?,Pedro Ramírez Vázquez,327,P800
oxidation-reduction process,the oxidation reduction process,What is the metabolic process that dihydrolipoamide dehydrogenase    LA_2886 is involved in ?,Dihydrolipoamide dehydrogenase LA_2886,329,P682
Homo sapiens,Apoptosis regulator Bcl-2 is found in Homo sapiens,Where is Apoptosis regulator Bcl-2 found ?,BCL2 apoptosis regulator,331,P703
cytoplasm,cytoplasm component of DNA gyrase subunit A ECUMN_2568,What is a component of DNA gyrase subunit A    ECUMN_2568 ?,DNA gyrase subunit A ECUMN_2568,332,P681
DNA gyrase subunit A ECUMN_2568,DNA gyrase subunit A ECUMN_2568 encodes that DNA.,What encodes DNA gyrase subunit A    ECUMN_2568 ?,DNA gyrase subunit A ECUMN_2568,333,P702
Ernst Lubitsch,Ernst Lubitsch produced it.,Which person is the produced of One Hour with You ?,One Hour with You,334,P162
black-and-white photographic film,black-and-white photographic film color is associated with One Hour with You,Which color is associated with One Hour with You ?,One Hour with You,335,P462
Ingeborg Bachmann Award 2016,Stefanie Sargnagel had participate in Ingeborg Bachmann Award 2016.,Which award did Stefanie Sargnagel participate in ?,Stefanie Sargnagel,336,P1344
federal state,the type of government for Australia is federal state.,What is the type of government for Australia ?,Australia,340,P122
"Academy Award for Best Writing, Original Screenplay","Mario Monicelli was nominated for Best Writing, Original Screenplay for Academy Award",Which film award was Mario Monicelli nominated for ?,Mario Monicelli,344,P1411
Augsburg,Augsburg is where he died.,Where did Gottfried Eichler der Jüngere die ?,Gottfried Eichler the Younger,347,P20
Kristin Gore,Kristin Gore is the author of Futurama.,Who is author of Futurama ?,Futurama,348,P800
Yves Pajot,Yves Pajot Marc Pajot as their sibling,Who has Marc Pajot as their sibling ?,Marc Pajot,349,P7
Académie de Marine,Académie de Marine was Marc Pajot a member of social group,Which social group was Marc Pajot a member of ?,Marc Pajot,350,P463
opera,The genre is opera.,Which aspect of music is the genre for Denis Dufour ?,Denis Dufour,352,P136
harpsichordist,Harpsichordist is associated with the field of occupation harpsichord.,Who is associated with the field of occupation harpsichord ?,harpsichord,353,P425
Bartolomeo Cristofori,BARTOLOMEO CRISTOFORI WAS THE FIRST PERSON TO COME UP WITH PIANO,Which person was the first person to come up with piano ?,piano,355,P61
Paul Englishby,Paul Englishby composed Good Cop.,Who composed Good Cop ?,Good Cop,358,P86
football at the 2016 Summer Olympics,football at the 2016 Summer Olympics sport discipline did Allysha Chapman participate,Which sport discipline did Allysha Chapman participate in ?,Allysha Chapman,363,P1344
Jonathan Le Tocq,Jonathan Le Tocq is the head.,Which person has Guernsey as its head of government ?,Guernsey,365,P6
France,France is part of Junhac administrative territory.,Which administrative territory is Junhac a part of ?,Junhac,367,P17
canton of Montsalvy,The French division the canton of Montsalvy has Montsalvy as its center of administration.,Which french administrative division has Montsalvy has its center of administration ?,Montsalvy,369,P1376
Russian Empire,Russian Empire is is the name of the former country.,Which former country is Vladimir Anatolievič Barjatinskij an inhabitant of ?,Vladimir Baryatinsky,371,P27
Anatolij Ivanovič Barjatinskij,Anatolij Ivanovič Barjatinskij was the dad of Vladimir Anatolievič Barjatinskij.,Who was the dad of Vladimir Anatolievič Barjatinskij ?,Vladimir Baryatinsky,372,P22
Moscow,the capital of Russian Empire Moscow,Which administrative territory is called the capital of Russian Empire ?,Russian Empire,373,P36
Vladimir Baryatinsky,Vladimir Baryatinsky is their offspring.,Which person is an offspring of Anatolij Ivanovič Barjatinskij ?,Anatolij Ivanovič Barjatinskij,374,P40
"Alexander Duff, 1st Duke of Fife","Alexander Duff, 1st Duke of Fife is the father of Princess Alexandra, 2nd Duchess of Fife","Who was the father of Princess Alexandra, 2nd Duchess of Fife ?","Princess Alexandra, 2nd Duchess of Fife",376,P22
Germany,Hans Kaiser is living in the political territory Germany.,Which political territory is Hans Kaiser an inhabitant of ?,Hans Kaiser,377,P27
2005 German federal election,2005 German federal election is the name of the election.,Which is the election from where Angela Merkel was elected from ?,Angela Merkel,379,P991
Christian Democratic Union,Angela Merkel is a member of the Christian Democratic Union.,Which political party is Angela Merkel a member of ?,Angela Merkel,380,P102
endomembrane system,The vacuole is a part of the endomembrane system.,What is vacuole a part of ?,vacuole,384,P361
Cao Cao,Cao Cao has a child named Cao Mao,Which male person has a child named Cao Mao ?,Cao Mao,386,P22
