,Index,UID1,Ques1,Ans1,UID2,Ques2,Ans2
42,42,1044,Which place with town privileges was Pierre Diriken born in ?,Tongeren,851,What is the occupation held by Japan ?,Prime Minister of Japan
43,43,2418,Which person has place of birth as Saint-Jean-en-Royans ?,"André, Antoine, Alexis Vignon-Laversanne",1834,Which occupation serves as the political office that is fulfilled by the head of the government of Germany ?,Federal Chancellor of Germany
44,44,3568,Who has location of birth at Gorno ?,Giuseppe Riccardi,2945,Which administrative territory has Prime Minister of Sweden as office of head of government ?,Sweden
45,45,4310,Who was born at Asia ?,Rhodo,398,Which language was used originally for the creation of ...And Justice for All ?,English
46,46,10769,Where was Javier Moro León born ?,Paris,11881,Which book has Ruthenian as its original language of creation ?,Bible of Francysk Skaryna
47,47,38701,Which french administrative division was Steven N'Zonzi born at ?,Colombes,54130,Which television program is known to be originally created in Serbia language ?,Kitchen
48,48,41263,Which city was Sidlo Jindrich born in ?,Turnov,7,What battle was Cal Dorsett a part of ?,World War II
49,49,48051,Where was Efraín Recinos born ?,Quetzaltenango,424,Which glittering generality did Juan José Gómez take part in ?,Mexican Revolution
50,50,48986,Which human settlement was Fritz Master born at ?,Elberfeld,587,What was the war that Charles Adam Heckman took part in,American Civil War
51,51,50005,Which city was Li Houzhu born at ?,Nanjing,206,What event was Japan a participant of ?,World War II
52,52,52713,Where was Heidi Kivelä born ?,Finland,583,Which sport discipline has Caroline Wozniacki as its participant ?,2016 Australian Open – Women's Singles
53,53,54204,Where was Abhishek Singhvi born ?,Jodhpur,1074,Which event did Angélique Bègue participate in ?,70 years / 70 works of art
54,54,59718,Where was Valentina Osejeva born ?,Kiev,1550,Who attended World War I ?,Germany
55,55,72,Which administrative territory is the native country of Cirilo Villaverde ?,Cuba,1910,What event did Republican Party particiate in ?,2016 Republican Party presidential primaries
56,56,146,Which administrative territory does Joseph Hopkinson belong to ?,United States of America,10912,Which former country was a participant of World War I ?,Ottoman Empire
57,57,214,Which political territory is Sheniqua Ferguson a civilian of ?,Bahamas,23383,Who attended Siege of Kobanê ?,People Protection Units
58,58,371,Which former country is Vladimir Anatolievič Barjatinskij an inhabitant of ?,Russian Empire,28790,Which artist participated in World War I ?,Germany
59,59,2520,Which state is the country of citizenship of Svetlana Ulmasova ?,Soviet Union,574,Which person wrote the script for La bella Otero ?,La Belle Otero
60,60,21100,Which state does Lew Solomonowitsch Ginsburg belong to ?,Soviet Union,679,Who was the screenwriter for The Woman with a Broken Nose ?,Srđan Koljević
61,61,42997,Which state does Lidija Alexandrowna Fotijewa belong to ?,Soviet Union,1154,Who wrote the screenplay for Flirtation Walk ?,Delmer Daves
62,62,56428,Who is a native of Paul ?,Paul de Lascaux,2217,Which work of art is Pablo Picasso a screenwriter of ?,The Mystery of Picasso
63,63,56458,Which political territory does Heinrich Steinhowel belong to ?,Germany,7419,What is Brad Peyton a screwriter of ?,Evelyn: The Cutest Evil Dead Girl
64,64,62150,Which person is a citizen of Florence ?,Leontius Pilatus,20728,Which television program did J. R. R. Tolkien do the screenwriting for ?,The Return of the King
65,65,15,What was the type of sport that Etimoni Timuani was a part of ?,athletics,34583,Who served as the screenwriter for Spectre?,Neal Purvis
66,66,142,What did Miroslav Latiak participate in ?,football,34631,Which film genre has William Beaudine as screenwriter ?,Black and White
67,67,2270,Which sport was Peter Borren a part of?,Cricket,61,Which organization is under posessision of Australia ?,Snowy Hydro
68,68,9894,What did Macedonia national football team participate in ?,football,616,Which monument is owned by Artaxerxes III ?,Mausoleum of Maussollos
69,69,12404,Who plays table tennis player ?,Jan Zdzisław Targosiński,707,Which transport company belongs to Kazakhstan ?,Kazakhstan Temir Zholy
70,70,12421,What did Mike Hoffman (ice hockey b. 1963) participate in ?,ice hockey,2058,Who is the owner of Montpellier Hérault Rugby ?,Mohed Altrad
71,71,33782,Which type of sport did Anna Kotchneva participate in ?,artistic gymnastics,4062,Which organization owned RMS Queen Mary 2 ?,Cunard Line
72,72,44626,What did Nina Wörz participate in ?,handball,4988,Which building does Castle of Legnano belong to ?,Policlinico di Milano
73,73,56393,What did Leeds United A.F.C. participate in ?,football,5781,Who owns Malkin Athletic Center ?,Harvard University
74,74,9,Which city is the place of death of Sterjo Spasse ?,Tirana,11419,Which ministry owned Arlington National Cemetery ?,United States Department of the Army
75,75,18,Where did the demise of Nathaniel McLenaghan occur ?,Perth,18251,Which person owned Loglan ?,James Cooke Brown
76,76,316,Where did Ivan Parík expire ?,Bratislava,27207,Who owns FremantleMedia ?,RTL Group
77,77,347,Where did Gottfried Eichler der Jüngere die ?,Augsburg,28170,Which collection owned Picture clock with Alster panorama ?,Stiftung Historische Museen Hamburg
78,78,428,Where did Co Bouwens die ?,Amsterdam,30386,Which business enterprise owned Sony Music Entertainment ?,Sony Corporation of America
79,79,2321,Which person has Azay-le-Brûlé as the location of death ?,Michelle Clément-Mainard,33217,Which stadium is owned by FC Terek Grozny ?,Akhmat-Arena
80,80,3606,Which person expired at Côte d'Ivoire ?,Victor Capri Djédjé,34136,Which geographical object owned Spartak Stadium ?,Football Federation of Kyrgyz Republic
81,81,4098,Who died in Mount Kinabalu ?,Robbi Sapinggi,36671,Which organization is owned by Republic of Moldova ?,Calea Ferată din Moldova
82,82,8037,Where did the expiration of Chauncey W. Reed occur ?,Bethesda,39825,Which authority organ owned Airports Corporation of Vietnam ?,Government of Vietnam
83,83,9773,Where did Ken McLeod expire ?,HMS Glowworm,41844,Which administrative territory does Stadio Olimpico di Torino belong to ?,Turin
84,84,10197,Where did Arturo Borja perez die ?,Quito,43047,Which administrative territory owned The Folly Tower ?,Torfaen County Borough Council
85,85,28045,Which person has Côte d'Ivoire as the area of death ?,Victor Capri Djédjé,51043,Which government agency owned Interstate 90 in Montana ?,Montana Department of Transportation
86,86,34726,Where did Hryhory Kvitka-Osnovyanenko die ?,Kharkiv,53464,Which newspaper belongs to Northern League ?,la Padania
87,87,35502,"Where did Albert L. Reeves, Jr. expire ?",La Jolla,120,Which assembly represents Poland ?,Parliament of Poland
88,88,43314,Where did Paquita Más expire ?,Valencia,284,Which assembly governs New York City ?,New York City Council
89,89,45935,Where did Kenneth M. Regan expire ?,Santa Fe,415,Which assembly is the legislative body for France ?,French Parliament
90,90,46454,Where did Valentín Trujillo die ?,Mexico City,496,Which legislature represents Paris ?,council of Paris
91,91,47262,Where did William Henry die ?,Saarbrücken,937,Which legislature governs United States of America ?,United States Congress
92,92,35,Which administrative territory does Maine belong to ?,United States of America,9648,Which parliament governs Ukraine ?,Verkhovna Rada
93,93,45,Which political territory is Copenhagen situated in ?,Denmark,11385,Which Landtag represents Vienna ?,Landtag and City Council of Vienna
94,94,116,Which administrative territory is Mercy-le-Bas present in ?,France,17149,What has United States Congress as its representative body ?,United States of America
95,95,2686,Which former country is Kraków located in ?,Austria-Hungary,42416,Which form of government governs Montreal ?,Montreal City Council
96,96,4031,Which political territory does Hydro-Québec belong to ?,Canada,177,Which is the national anthem of Central African Republic ?,La Renaissance
97,97,8422,Which aerodrome is located in Nouakchott ?,Nouakchott Old Airport,306,Which literary work is the anthem for Italy ?,Il Canto degli Italiani
98,98,9386,Which state is Member of Parliament in the United Kingdom situated in ?,United Kingdom of Great Britain and Ireland,106,Who composed Hollywood Cavalcade ?,David Buttolph
99,99,22465,Which bank is present in African Union ?,African Central Bank,397,Which television program was composed by Ashley Tisdale ?,Picture This
100,100,34738,Which wine is situated in Provence ?,Vermentino,1153,Who was Flirtation Walk composed by ?,Allie Wrubel
101,101,44699,Which state does Medal for Battle Merit belong to ?,Soviet Union,1388,Who wrote the music for Press for Time ?,Mike Vickers
102,102,50614,Which regime is Ercan International Airport a part of ?,Turkish Republic of Northern Cyprus,1468,Which person composed Norma ?,Vincenzo Bellini
103,103,55794,Which state is Doktor Nauk in Philology situated in ?,Soviet Union,3657,Who did the compostion for Make a Fake ?,Mauro Pagani
104,104,139,Which occupation was a position occupied by Kristian von Alfthan ?,member of the Parliament of Finland,10887,Which theatrical genre is David Wood a composer of ?,The Gingerbread Man
105,105,512,What was the position for which Jean-Joconde Stévenin was appointed ?,mayor,12578,Which work of art has Mariano Díaz as the composer ?,The Sea and the Weather
106,106,521,Who held the position of composer ?,Karl Hajos,14382,Who composed Michel Strogoff (miniseries) ?,Vladimir Cosma
107,107,1559,Which profession was a position held by Édouard-Ferdinand de Beaumont-Vassy ?,prefect,23702,Who composed Hors Saison ?,Peer Raben
108,108,14222,Which occupations were the positions for which Ed Markey were appointed ?,United States representative,47,What situation did Joseph Schillinger die in ?,natural causes
109,109,108,Where is Zinc finger protein 479 found ?,Homo sapiens,186,What manner did Ghena Dimitrova die ?,natural causes
110,110,213,Which taxon is cytochrome c oxidase subunit I    tll2010 found in ?,Thermosynechococcus elongatus BP-1,500,Which activity best describes with circumstances of death of Daniel Lewin ?,homicide
111,111,311,Which taxon is F-box/LRR-repeat protein 14 found in ?,Homo sapiens,14311,"What manner did R. W. Apple, Jr. die ?",natural causes
112,112,331,Where is Apoptosis regulator Bcl-2 found ?,Homo sapiens,16226,Which person has breast cancer as death circumstances ?,Montserrat Roig
113,113,501,What is the taxon to which pyruvate kinase    PP_4301 belongs to ?,Pseudomonas putida KT2440,53948,What situation did Carlo Buonaparte die in ?,natural causes
114,114,526,Which taxon is Serine/threonine-protein kinase/endoribonuclease IRE2 found in ?,Homo sapiens,62518,What situation did Nickolay Rybnikov die in ?,natural causes
115,115,661,Which taxon is Coiled-coil and C2 domain-containing protein 2A found in ?,house mouse,334,Which person is the produced of One Hour with You ?,Ernst Lubitsch
116,116,695,Which taxon is Vik1p YPL253C a part of ?,Saccharomyces cerevisiae S288c,1031,Who is the creator of Prema ?,D. Ramanaidu
117,117,767,Where is Centrosomal protein of 70 kDa found ?,house mouse,1209,Who is the producer of Circle of Iron ?,Sandy Howard
118,118,797,Which infraspecific name is orotidine 5'-phosphate decarboxylase    ECUMN_1584 found in ?,Escherichia coli UMN026,1846,Which work of art created Alexandre Trauner ?,Irma la Douce
119,119,857,Which taxon does malate dehydrogenase    AHA_1243 belong to ?,Aeromonas hydrophila subsp. hydrophila ATCC 7966,2009,What has been developed by Italy ?,Calabuch
120,120,883,Which taxon is 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase    CT1839 found in ?,Chlorobium tepidum TLS,3773,Who produced Towed in a Hole ?,Hal Roach
121,121,1069,Which taxon is RNA-binding protein 26 found in ?,house mouse,7674,Which person produced Shevri ?,Neena Kulkarni
122,122,1152,Which taxon does hypothetical protein    VPA0911 belong to ?,Vibrio parahaemolyticus RIMD 2210633,16182,Which application created Ubisoft ?,Just Dance 2014
123,123,1229,Which taxon does 1-acyl-SN-glycerol-3-phosphate acyltransferase    NGO0611 belong to ?,Neisseria gonorrhoeae FA 1090,20238,Which business enterprise produced Here Comes the Bride ?,ABS-CBN
124,124,1272,Which taxon is major facilitator superfamily transporter    PA4900 found in ?,Pseudomonas aeruginosa PAO1,27935,Which application has been produced by 1-UP Studio ?,Mother 3
125,125,1633,Which taxon does N-acetylmannosamine-6-phosphate 2-epimerase    spr1529 belong to ?,Streptococcus pneumoniae R6,32757,Which release created Norman Smith ?,Savage Eye
126,126,1717,Which taxon does indolepyruvate oxidoreductase subunit IorA    CD630_23810 belong to ?,Peptoclostridium difficile 630,47353,Which division produced Area 52 ?,Rubyworks Records
127,127,1759,Which taxon is ATP-dependent DNA helicase RecQ    PA3344 found in ?,Pseudomonas aeruginosa PAO1,53953,Which film studio produced Evidence ?,Warner Bros.
128,128,1931,Which taxon does shikimate kinase    lmo1749 belong to ?,Listeria monocytogenes EGD-e,61492,Which person produced Are We Officially Dating? ?,Scott Aversano
129,129,2042,Where is Equilibrative nucleoside transporter 2 found ?,Homo sapiens,475,Who is elected as the head of state of Mexico ?,Enrique Peña Nieto
130,130,2156,Which taxon is 6.8 kDa mitochondrial proteolipid found in ?,house mouse,5813,Which political territory has Johannes Rau as its head of state ?,Germany
131,131,2192,Which taxon does serine/threonine protein kinase    Rru_A2187 belong to ?,Rhodospirillum rubrum ATCC 11170,6357,Which state is headed by Alī ibn Abī Ṭālib ?,Rashidun Caliphates
132,132,2363,Which taxon is 40S ribosomal protein S25 found in ?,house mouse,7308,Which person has the highest formal authority in Norway ?,Harald V of Norway
133,133,2549,Where is histidinol-phosphate aminotransferase    SSA_1449 found ?,Streptococcus sanguinis SK36,39538,Which administrative territory is headed by Francis ?,Vatican City
134,134,2697,Which taxon is Ankyrin repeat domain-containing protein 23 found in ?,house mouse,893,Which name is Yurika Mita known by ?,Yurika
135,135,2707,Where is AT-rich interactive domain-containing protein 4B found ?,Homo sapiens,946,What is the firstname of Sammy McCrory ?,Sammy
136,136,2744,Where is ubiquinone/menaquinone biosynthesis methyltransferase    NMB0743 found ?,Neisseria meningitidis MC58,1346,What the name that Pat Beach is known by ?,Pat
137,137,2785,Where is Inhibitor of growth protein 5 found ?,house mouse,1476,What is forename of Mateja Perpar ?,Mateja
138,138,2938,Which taxon is ATPase    tlr2419 found in ?,Thermosynechococcus elongatus BP-1,1577,Which person has Seon as first name ?,Jeon Mi-seon
139,139,2985,"Where is WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1 found ?",house mouse,6166,Which name is Egoraptor known by ?,Arin
140,140,3084,Where is formyltetrahydrofolate deformylase    CT1825 found ?,Chlorobium tepidum TLS,25108,Which name is Travis Mills known by ?,T.
141,141,3114,Where is Immunoglobulin superfamily containing leucine-rich repeat protein 2 found ?,house mouse,59892,Which name is Reid F. Murray known by ?,Reid
142,142,3236,Where is NADH dehydrogenase (quinone)    Moth_1718 found ?,Moorella thermoacetica ATCC 39073,99,What is notable work of Jean-Baptiste-Jules Klagmann ?,Saint Clotilde
143,143,3341,Where is TetR family transcriptional regulator    VCA0767 found ?,Vibrio cholerae O1 biovar El Tor str. N16961,348,Who is author of Futurama ?,Kristin Gore
144,144,3351,Where is Rab11 family-interacting protein 4 found ?,Homo sapiens,573,Which person has association football player as a notable work ?,Hugh Morgan-Owen
145,145,3459,Which taxon does elongation factor G    DR_0307 belong to ?,Deinococcus radiodurans R1,1442,What notable work was done by Pier Paolo Pasolini ?,Ragazzi di vita
146,146,3489,Where is inosine-5'-monophosphate dehydrogenase    BF4075 found ?,Bacteroides fragilis YCH46,1471,Who has association football player as their notable work ?,Hugh Morgan-Owen
147,147,3713,Which taxon is chorismate synthase    gvip463 found in ?,Gloeobacter violaceus PCC 7421,2025,Which person is accredited with being the author of the notable work Bedales School ?,Cindy Walters
148,148,3737,Where is CbbY family protein    VCA0798 found ?,Vibrio cholerae O1 biovar El Tor str. N16961,2065,Whose notable work was Sarati ?,Rúmil
149,149,3821,Where is UDP-glucuronosyltransferase 2B17 found ?,Homo sapiens,6167,What was notable work done by Egoraptor ?,Game Grumps
150,150,4102,Where is iron-sulfur cluster biogenesis scaffold protein NfuA    SO_4619 found ?,Shewanella oneidensis MR-1,205,Which is the narrative location of Shinjuku Incident ?,Tokyo
151,151,4228,Which taxon does 50S ribosomal protein L2    AHA_0312 belong to ?,Aeromonas hydrophila subsp. hydrophila ATCC 7966,676,What location is The Raid 2: Berandal set in ?,Jakarta
152,152,4282,Which taxon is gluconate permease gntP    RB10566 found in ?,Rhodopirellula baltica SH 1,1293,Which work of art has its setting located at East Germany ?,Kleinruppin Forever
153,153,4357,Where is peptidoglycan hydrolase FlgJ    PA1085 found ?,Pseudomonas aeruginosa PAO1,2138,Which narrative location is Post Mortem set in ?,Paris
154,154,4392,Where is C4-dicarboxylate transport protein    PA1183 found ?,Pseudomonas aeruginosa PAO1,2436,Which application has its narrative set in Belarus ?,Battlefield 2142
155,155,4584,Where is threonylcarbamoyl-AMP synthase    PA0022 found ?,Pseudomonas aeruginosa PAO1,60517,Which book has a setting location of Brussels ?,King Ottokar's Sceptre
156,156,4618,Where is 50S ribosomal protein L23    Cj1705c found ?,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,82,Which is the musical ensemble that originates at Spain ?,Silver Fist
157,157,4725,Which taxon is Protein S100-A12 found in ?,Homo sapiens,598,What is the family name that was formed at Italy ?,Brescia
158,158,4800,Which taxon is queuine tRNA-ribosyltransferase    aq_1308 found in ?,Aquifex aeolicus VF5,1768,Where was The Beck Group formed ?,Houston
159,159,5079,Where is phosphoglycerate kinase    Mfl577 found ?,Mesoplasma florum L1,7054,What is the location of formation of Populous ?,Kansas City
160,160,5316,Which taxon is Kinetochore protein Spc24 found in ?,Homo sapiens,13566,Where did Christianity orginate ?,Jerusalem
161,161,5366,Where is 30S ribosomal protein S7    CTL0697 found ?,Chlamydia trachomatis 434/BU,13711,Which organization originated at Leiden ?,Bone Marrow Donors Worldwide
162,162,5381,"Which taxon is Polyribonucleotide nucleotidyltransferase 1, mitochondrial found in ?",Homo sapiens,53194,Which location did Warner Bros. orginate in ?,Los Angeles
163,163,5513,Where is Scavenger receptor class A member 3 found ?,house mouse,14,Which female person has a child named Bernard Farrel ?,Françoise Rosay
164,164,5544,Where is Protein DENND6A found ?,house mouse,162,Who was the mother of Selma Bouvier ?,Jacqueline Bouvier
165,165,5613,Where is potassium-transporting ATPase subunit C    PA1635 found ?,Pseudomonas aeruginosa PAO1,617,Who was the mom of Artaxerxes III ?,Stateira
166,166,5672,Where is putative isoamylase    HMPREF0421_20568 found ?,Gardnerella vaginalis ATCC 14019,1008,Which female person was the parent of Anne Jules de Noailles ?,Louise Boyer
167,167,5792,Where is chemotaxis protein CheA    BB_0669 found ?,Borrelia burgdorferi B31,5167,Who has Hillary Clinton as a mother ?,Chelsea Clinton
168,168,5974,Which taxon does histidyl-tRNA synthetase    spr1931 belong to ?,Streptococcus pneumoniae R6,12287,Which person has Renée Étienne as mother ?,Jacques Tarbé de Saint-Hardouin
169,169,5997,Where is Anaphase-promoting complex subunit 11 found ?,Homo sapiens,14177,Who is the offspring of Liu Rongnan ?,Empress Wang Xianyuan
170,170,6007,Where is F0F1 ATP synthase subunit B    EAE_07185 found ?,Enterobacter aerogenes KCTC 2190,57874,Which person has Saint Anna as mom ?,Mary in Islam
171,171,6027,Which taxon is Transcription factor SOX-5 found in ?,house mouse,390,Who is the sister of Elizabeth II ?,"Princess Margaret, Countess of Snowdon"
172,172,6380,Which taxon is PTS system cellobiose-specific transporter subunit IIB    SSA_0283 found in ?,Streptococcus sanguinis SK36,406,Who is Albert Einstein a sibling of ?,Maja Einstein
173,173,6603,"Where is 5,10-methylenetetrahydrofolate reductase    BU046 found ?",Buchnera aphidicola str. APS (Acyrthosiphon pisum),1338,Which person has Lacey Schwimmer as their sibling ?,Benji Schwimmer
174,174,6744,Which taxon is Probable G-protein coupled receptor 21 found in ?,house mouse,2161,Which person had Princess Elisabeth of Savoy as sister ?,Charles Albert of Sardinia
175,175,6763,Where is uroporphyrinogen III synthase/methyltransferase    CLC_0976 found ?,Clostridium botulinum A str. Hall,4004,Who has Joël Sloof as thier sibling ?,Chardine Sloof
176,176,6859,Where is Amyloid beta A4 protein found ?,Homo sapiens,5091,Whose sister is Samar Badawi ?,Raif Badawi
177,177,6959,Which taxon is Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2 found in ?,Homo sapiens,5622,Who is the sibling of Yanka Kupala ?,Leocadia Dominikovna Lutsevich
178,178,7050,Which taxon is DNA-binding transcriptional regulator    VC2760 found in ?,Vibrio cholerae O1 biovar El Tor str. N16961,458,Which the biological process that represents the molecular function of Complement C1q tumor necrosis factor-related protein 3 ?,molecular function
179,179,7176,Where is E3 ubiquitin-protein ligase Zswim2 found ?,house mouse,996,Which chemical bond represents molecular function of peptidyl-dipeptidase A protein    SMc04403 ?,metal ion binding
180,180,7264,Which taxon does 3-isopropylmalate dehydratase small subunit    SSUBM407_1808 belong to ?,Streptococcus suis BM407,129,Which Christian denomination does Milutin Milanković correspond to ?,Serbian Orthodox Church
181,181,7277,Which taxon does dihydrofolate reductase    CBU_1993 belong to ?,Coxiella burnetii RSA 493,493,Which Christian denomination is the religion of Alois Fuchs ?,Catholic Church
182,182,7284,Where is Opioid-binding protein/cell adhesion molecule found ?,Homo sapiens,1435,What is the religious affiliation of Giovanni Lombardo ?,Christianity
183,183,7607,Which taxon is TonB mediated energy transduction system energy transducer component TonB    SO_4564 found in ?,Shewanella oneidensis MR-1,1964,Which social group does Duchy of Courland and Semigallia relate to ?,Lutheranism
184,184,7678,Where is methylcobalamin:coenzyme M methyltransferase    CLC_1525 found ?,Clostridium botulinum A str. Hall,3949,What is the religion associated with Ibrahim al-Hamdi ?,Islam
185,185,7736,Where is 1-acylglycerol-3-phosphate O-acyltransferase    SMU_624 found ?,Streptococcus mutans UA159,11602,Which religion does Sparta relate to?,religion in ancient Greece
186,186,7950,Which taxon does signal transduction histidine kinase    CA_C3319 belong to ?,Clostridium acetobutylicum ATCC 824,457,Which organization was started by United Kingdom ?,UNESCO
187,187,8223,Which taxon does transcriptional regulator    XCC3667 belong to ?,Xanthomonas campestris pv. campestris str. ATCC 33913,712,What is the name of the founder of Minsk ?,Menesk
188,188,8261,Where is transcriptional repressor of aromatic amino acid biosynthesis TrpR    SO_3419 found ?,Shewanella oneidensis MR-1,1873,Who was the founder of Roman Catholic Church ?,Jesus
189,189,8273,Where is aspartate--tRNA ligase    HI0317 found ?,Haemophilus influenzae Rd KW20,2368,Which political party was established by Vladimir Lenin ?,Communist Party of the Soviet Union
190,190,8459,Where is Cullin-4A found ?,Homo sapiens,2768,Which international organization was founded by Spain ?,European Space Agency
191,191,8474,Which taxon is oligopeptide ABC transporter permease    CT_199 found in ?,Chlamydia trachomatis D/UW-3/CX,3021,Who founded Szilasliget ?,Ede Wéber
192,192,8525,Which taxon is peptide chain release factor 3    glr3159 found in ?,Gloeobacter violaceus PCC 7421,3361,Which person founded Winchester Repeating Arms Company ?,Oliver Winchester
193,193,8547,Where is imidazole glycerol phosphate synthase subunit HisF    RSP_2242 found ?,Rhodobacter sphaeroides 2.4.1,4794,Who founded Roman Catholic Church ?,Jesus
194,194,8785,"Which taxon does immune inhibitor A, metalloprotease    BT9727_0582 belong to ?",Bacillus thuringiensis serovar konkukian str. 97-27,13947,Which fictional character founded Rome ?,Romulus
195,195,8948,"Where is bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase    GSU2974 found ?",Geobacter sulfurreducens PCA,17591,Which abstract being founded Christianity ?,Jesus
196,196,9019,Where is DNA topoisomerase I    NRG857_06535 found ?,Escherichia coli O83:H1 str. NRG 857C,22968,Which collection was established by European Organization for Nuclear Research ?,Microcosm
197,197,9167,Where is glutamate racemase    Smed_1516 found ?,Sinorhizobium medicae WSM419,23271,Which legislature founded Harvard University ?,Massachusetts General Court
