answer,answer_sentence,question,question_entity_label,question_id,question_relation
San Diego Museum of Art,san diego museum of art has raja surendra vikram shah at the age of 15 with his prime minister in it.,Which museum has Raja Surendra Vikram Shah at the age of 15 with his prime minister in it ?,Raja Surendra Vikram Shah at the age of 15 with his prime minister,55,P195
Brescia,brescia territory is the birthplace of davide martinelli.,Which administrative territory is the birthplace of Davide Martinelli ?,Davide Martinelli,56,P19
Republic of Brescia,brescia is the county seat of republic of brescia.,Which state has Brescia as its county seat ?,Brescia,58,P1376
Faustinus and Jovita,faustinus and jovita is the name of the saint.,Who is the patron saint of Brescia ?,Brescia,59,P417
Organisation Todt,"organisation todt built hohlgangsanlage 8,",Who has built Hohlgangsanlage 8 ?,Hohlgangsanlage 8,60,P193
Snowy Hydro,snowy hydro is the organization under possession of australia,Which organization is under posessision of Australia ?,Australia,61,P127
Spain national football team,juan bernat is a member of the spain national football team.,Which national sports team is Juan Bernat a member of ?,Juan Bernat,64,P54
Bremen,bremen frank schildt work,Where did Frank Schildt work ?,Frank Schildt,67,P937
Tomsk,tomsk is the administrative territory where alexander berkutov was born.,Which administrative territory is the place of birth of Alexander Berkutov ?,Alexander Berkutov,70,P19
Cuba,cuba is the native country of cirilo villaverde.,Which administrative territory is the native country of Cirilo Villaverde ?,Cirilo Villaverde,72,P27
SS Norge,the ss norge is the type of ship that has it's base port as denmark.,Which ship type has its base port as Denmark ?,Denmark,75,P532
association football player,javier is an association football player.,What is the job of Javier Garrido ?,Javier Garrido,77,P106
Irun,javier garrido was born in political territory of irun.,Which political territory is the place of birth of Javier Garrido ?,Javier Garrido,78,P19
The Madonna of Port Lligat,has spain as its location of final assembly the madonna of port lligat,Which artwork series has Spain as its location of final assembly ?,Spain,81,P1071
Silver Fist,silver fist is the musical ensemble that originates at spain.,Which is the musical ensemble that originates at Spain ?,Spain,82,P740
Victoria Cross,johnson beharry received the victoria cross award.,Which award was received by Johnson Beharry ?,Johnson Beharry,84,P166
British Army,johnson beharry is associated with the british army.,Which military branch is Johnson Beharry associated with ?,Johnson Beharry,85,P241
Elizabeth II,elizabeth ii is the namesake.,Which person is namesake of British Army ?,British Army,86,P138
Kingdom of the Netherlands,kingdom of the netherlands is the native country of sieb dijkstra,Which administrative territory is the native country of Sieb Dijkstra ?,Sieb Dijkstra,87,P27
association football player,sieb dijkstra is an association football player professionally.,Which occupation is the profession of Sieb Dijkstra ?,Sieb Dijkstra,88,P106
Bauer,bauer is the name associated with the group.,Which name is associated with Wilhelm Bauer ?,Wilhelm Bauer,90,P734
Maximilian of Hesse-Kassel,maximilian of hesse-kassel was the father or princess wilhelmina of hesse-kassel.,Which male person was the parent of Princess Wilhelmina of Hesse-Kassel ?,Princess Wilhelmina of Hesse-Kassel,92,P22
House of Hesse,maximilian of hesse-kassel belongs to the house of hesse family.,What is the family that Maximilian of Hesse-Kassel belongs to ?,Maximilian of Hesse-Kassel,94,P53
Margravine Hedwig Sophie of Brandenburg,"margravine hedwig sophie of brandenburg is a relative of william viii, landgrave of hesse-kassel.","Which person is a relative of William VIII, Landgrave of Hesse-Kassel ?","William VIII, Landgrave of Hesse-Kassel",95,P1038
Friederike Charlotte of Hesse-Darmstadt,friederike charlotte of hesse-darmsradt is the spouse of maximilian of hesse-kassel.,Who is the spouse of Maximilian of Hesse-Kassel ?,Maximilian of Hesse-Kassel,96,P26
Berlin,margravine hedwig sophie of brandenburg was born in berlin.,Which administrative territory was Margravine Hedwig Sophie of Brandenburg born at ?,Margravine Hedwig Sophie of Brandenburg,98,P19
Saint Clotilde,saint clotide is the notable work of jean-baptiste-jules klagmann,What is notable work of Jean-Baptiste-Jules Klagmann ?,Jean-Baptiste-Jules Klagmann,99,P800
marble,marble rock is used to construct saint clotilde.,Which rock is used to construct Saint Clotilde ?,Saint Clotilde,100,P186
Étienne-Jules Ramey,etienne- jules ramey is the teacher of jean-baptiste-jules klagmann.,Which person was the teacher of Jean-Baptiste-Jules Klagmann ?,Jean-Baptiste-Jules Klagmann,101,P1066
association football player,shaun brooks is the association football player.,What is the job of Shaun Brooks ?,Shaun Brooks,102,P106
Johnny Brooks,shaun brooks has johnny brooks as an offspring,Who has Shaun Brooks as an offspring ?,Shaun Brooks,103,P40
England national football team,johnny brooks is a member of england national football team.,What is Johnny Brooks a member of ?,Johnny Brooks,104,P54
David Buttolph,composed hollywood cavalcade david buttolph,Who composed Hollywood Cavalcade ?,Hollywood Cavalcade,106,P86
Homo sapiens,zinc finger protein 479 is found in homo sapiens,Where is Zinc finger protein 479 found ?,Zinc finger protein 479,108,P703
ZNF479,the nucleic acid znf479 encodes zinc finger protein 479.,Which nucleic acid sequence encodes Zinc finger protein 479 ?,Zinc finger protein 479,109,P688
Aicardi syndrome,aicardi syndrome afflicts homo sapiens.,What can afflict Homo sapiens ?,Homo sapiens,110,P689
Accademia Nazionale delle Scienze detta dei XL,accademia nazionale delle scienze detta dei xl has ernesto pascal as its member.,Which academy of sciences had Ernesto Pascal as its member ?,Ernesto Pascal,112,P463
France,mercy-le-bas is present in administrative territory of france.,Which administrative territory is Mercy-le-Bas present in ?,Mercy-le-Bas,116,P17
Daniel Ugolini,daniel ugolini was born at mercy-le-bas.,Which person has birthplace at Mercy-le-Bas ?,Mercy-le-Bas,117,P19
Parliament of Poland,the parliament of poland represents poland,Which assembly represents Poland ?,Poland,120,P194
Italian,italian is the official language of italy.,What is the official language of Italy ?,Italy,125,P37
Curitiba,curitiba administrative territory was ticão born.,Which administrative territory was Ticão born in ?,Ticão,126,P19
Monfalcone,monfalcone is the final place of assembly for ms azura.,Where is the final place of assembly for MS Azura ?,MS Azura,127,P1071
shipwrecking,shipwrecking is a significant event associated with sylph.,What is a significant event associated with Sylph ?,Sylph,128,P793
Serbian Orthodox Church,milutin milanković corresponds to christian denomination serbian orthodox church,Which Christian denomination does Milutin Milanković correspond to ?,Milutin Milanković,129,P140
Emanuel Czuber,emanuel czuber was milutin's doctoral advisor.,Who was the doctoral advisor of Milutin Milanković ?,Milutin Milanković,130,P184
"Bella, Basilicata",bella in basilicata is the administrative territory partner town of modena,Which administrative territory is partner town of Modena ?,Modena,132,P190
James,james has the surname tony james.,Who has the surname Tony James ?,Tony James,133,P734
Sigue Sigue Sputnik,tony james is a member of sigue sigue sputnik.,What was Tony James a member of ?,Tony James,134,P463
Kristian von Alfthan,kristian von alfthan is the offspring of george von alfthan.,Who is the offspring of George von Alfthan ?,George von Alfthan,138,P22
member of the Parliament of Finland,kristian von alfthan is member of parliament.,Which occupation was a position occupied by Kristian von Alfthan ?,Kristian von Alfthan,139,P39
Saccharomyces cerevisiae S288c,hug1p yml058w-a found is found in  saccharomyces cerevisiae s288c.,Where is Hug1p YML058W-A found ?,Hug1p YML058W-A,140,P703
HUG1,hug1 is nucleic acid sequence that encodes hug1p yml058w-a,Which nucleic acid sequence encodes Hug1p YML058W-A ?,Hug1p YML058W-A,141,P702
football,miroslav latiak participated in football.,What did Miroslav Latiak participate in ?,Miroslav Latiak,142,P641
University of Pennsylvania,university of pennsylvania is the alma mater of joseph hopkinson.,Which nonprofit organization is the alma mater of Joseph Hopkinson ?,Joseph Hopkinson,145,P69
United States of America,joseph hopkinson belong to the administrative territory of united states of america,Which administrative territory does Joseph Hopkinson belong to ?,Joseph Hopkinson,146,P27
University of Pennsylvania,it is owned by uroporphyrinogen iii synthase/methyltransferase clc_0976.,Which nonprofit organization owns Penn Presbyterian Medical Center?,Penn Presbyterian Medical Center,148,P749
Cave Hill Cemetery,theodore legrand burnett located at cave hill cemetery,Where is the place of burial for Theodore Legrand Burnett located ?,Theodore Legrand Burnett,150,P119
association football club,an association football player is a component of an association football club.,Which sports club is association football player a component of ?,association football player,153,P361
Match Day II,match day ii depicts association football.,Which application depicts association football ?,football,154,P180
Liberal Party of Honduras,ramón rosa is affiliated with the liberal party of honduras.,Which party is Ramón Rosa affiliated with ?,Ramón Rosa,155,P102
Federal Way High School,sharon cissna is an alumni of federal way high school,Which secondary school is Sharon Cissna an alumni of ?,Sharon Cissna,159,P69
Clancy Bouvier,clancy bouvier is named as marge simpson.,Which male abstract being has a child named Marge Simpson ?,Marge Simpson,160,P22
Jacqueline Bouvier,jacqueline bouvier was the mother of selma bouvier.,Who was the mother of Selma Bouvier ?,Selma Bouvier,162,P25
BNIP1,bnip1 is the encoding of vesicle transport protein sec20.,Which nucleic acid sequence encodes Vesicle transport protein SEC20 ?,BCL2 interacting protein 1,164,P688
Carl Linnaeus,carl linnaeus is the taxonomic type of homo sapiens.,Which zoological nomenclature is the taxonomic type of Homo sapiens ?,Homo sapiens,165,P427
Aicardi syndrome,homo sapiens were afflicted by a health problem named aicardi syndrome,What is the health problem that afflicts Homo sapiens ?,Homo sapiens,166,P689
Peter Murray-Hill,peter murray-hill is the life partner of phyllis calvert.,Which person is the life partner of Phyllis Calvert ?,Phyllis Calvert,167,P26
England,england has london has its first city.,Which territory has London has its first city ?,London,169,P1376
8837 London,8837 london nastronomical object type has london as its toponym.,Which astronomical object type has London as its toponym ?,London,170,P138
flag of England,associated with england a flag of england,What is associated with England ?,England,173,P163
Paris,daniel tinayre was born in paris.,Where was Daniel Tinayre born ?,Daniel Tinayre,174,P19
Argentina,argentina is the administrative territory darío fernández belongs to.,Which administrative territory does Darío Fernández belong to ?,Darío Fernández,175,P27
Spanish,darío fernández is capable of writing spanish.,Which language is Darío Fernández capable of writing ?,Darío Fernández,176,P1412
La Renaissance,la renaissance is the national anthem of central african republic,Which is the national anthem of Central African Republic ?,Central African Republic,177,P85
Royal Naval School,royal naval school is the school george nares is an alumni of.,Which school is George Nares an alumni of ?,George Nares,178,P69
Royal Navy,george nares affiliated to royal navy military branch,Which military branch is George Nares affiliated to ?,George Nares,179,P241
vice-admiral,george nares achieved has achieved the title vice-admiral.,Which title has George Nares achieved ?,George Nares,180,P410
ScanEagle,scaneagle is operated by royal navy.,What is operated by Royal Navy ?,Royal Navy,181,P121
Officer's Cross of the Order of Merit of the Federal Republic of Germany,officer's cross of the order of merit of the federal republic of germany was received by martin boyken.,Which award was Martin Boyken awarded with ?,Martin Boyken,182,P166
Stade,stade   is the work location of martin boyken,What is the work location of Martin Boyken ?,Martin Boyken,183,P937
politician,fabio pedrina is a politician.,Which occupation is the profession of Fabio Pedrina ?,Fabio Pedrina,185,P106
natural causes,ghena dimitrova died for natural causes,What manner did Ghena Dimitrova die ?,Ghena Dimitrova,186,P1196
SEC13,sec13 encodes protein sec13 homolog.,What encodes Protein SEC13 homolog ?,"SEC13 homolog, nuclear pore and COPII coat complex component",187,P702
Carl Linnaeus,carl linnaeus is a homo sapien.,What is the taxonomic type of Homo sapiens ?,Homo sapiens,188,P427
Sara Elisabeth Moræa,sara elisabeth moræa has carl linnaeus as spouse.,Which person has Carl Linnaeus as spouse ?,Carl Linnaeus,190,P26
African Americans,african americans is the ethnicity of stanley crouch,What is the ethnicity of Stanley Crouch ?,Stanley Crouch,192,P172
English,stanley crouch speak in english.,Which language does Stanley Crouch speak in ?,Stanley Crouch,194,P1412
multi-role combat aircraft,multi-role combat aircraft is recognized as the main use of spad s.vii.,Which aircraft functional class is recognized as the main use of SPAD S.VII ?,S.VII,195,P366
Carolina Orsini,carolina orsini is works of milan.,Who works for Milan ?,Milan,199,P108
"Washington, D.C.","curt weldon worked in washington, d.c.",Where did Curt Weldon work ?,Curt Weldon,200,P937
Italian,italian is considered to be the official language of switzerland.,What is considered to be the official language of Switzerland ?,Switzerland,201,P37
Europe,switzerland is a part of europe,Which geographic location is Switzerland a part of ?,Switzerland,202,P30
Earth's surface,antarctica a component of earth's surface.,Which surface is Antarctica a component of ?,Antarctica,203,P361
United States of America,united states of america is the country of origin of frank and jesse.,Which administrative territory is the country of origin of Frank and Jesse ?,Frank and Jesse,204,P495
Tokyo,tokyo is the narrative location of shinjuku incident.,Which is the narrative location of Shinjuku Incident ?,Shinjuku Incident,205,P840
World War II,japan was a participant of world war ii,What event was Japan a participant of ?,Japan,206,P710
The Wind Rises,the wind rises has hayao miyazaki as cinematographer.,Which work of art has Hayao Miyazaki as cinematographer ?,Hayao Miyazaki,207,P344
Olšany Cemetery,olšany cemetery is the place of burial for ignác jan hanuš.,Where is the place of burial for Ignác Jan Hanuš located ?,Ignác Jan Hanuš,208,P119
Hidden Ivies,hidden ivies produced new york city,Which collectable produced New York City ?,New York City,211,P123
oxidation-reduction process,cytochrome c oxidase subunit i tll2010 is involved in the oxidation-reduction process.,Which metabolic process is cytochrome c oxidase subunit I    tll2010 involved in ?,Cytochrome c oxidase subunit I tll2010,212,P682
Thermosynechococcus elongatus BP-1,thermosynechococcus elongatus bp-1is cytochrome c oxidase subunit i tll2010 found in,Which taxon is cytochrome c oxidase subunit I    tll2010 found in ?,Cytochrome c oxidase subunit I tll2010,213,P703
Bahamas,bahamas political territory is sheniqua ferguson a civilian of,Which political territory is Sheniqua Ferguson a civilian of ?,Sheniqua Ferguson,214,P27
member of the State Senate of Wisconsin,harold v. schoenecker was appointed a member of the state senate of wisconsin.,Which occupation was a position for which Harold V. Schoenecker was appointed ?,Harold V. Schoenecker,216,P39
Marquette University Law School,marquette university law school  is the alma mater of harold v. schoenecker,Which university is the alma mater of Harold V. Schoenecker ?,Harold V. Schoenecker,217,P69
Wisconsin,wisconsin us administrative territory applies to jurisdiction of member of the state senate of wisconsin.,Which US administrative territory applies to jurisdiction of member of the State Senate of Wisconsin ?,member of the State Senate of Wisconsin,218,P1001
United States of America,a member of the state senate of wisconsin belongs to the administrative territory of the united states of america.,Which administrative territory does member of the State Senate of Wisconsin belong to ?,member of the State Senate of Wisconsin,219,P17
2014 Asian Games,shuko aoyama took part in the 2014 asian games.,Which recurring sporting event did Shuko Aoyama take part in ?,Shuko Aoyama,220,P1344
James Van Ness,james van ness lives in georgia.,Who lives in Georgia ?,Georgia,222,P551
Order of Isabella the Catholic,order of isabella the catholic was won by xerardo.,What was won by Xerardo Fernández Albor ?,Xerardo Fernández Albor,224,P166
Officer of the Order of the British Empire,officer of the order of the british empire was received by stirling moss.,What was received by Stirling Moss ?,Stirling Moss,231,P166
Louis XIV of France,louis xiv of france is the origin of lycee louis-le-grand.,Which person is the origin of Lycée Louis-le-Grand ?,Lycée Louis-le-Grand,236,P138
Russia,russia has moscow as its capital.,Which administrative territory has Moscow as its capital ?,Moscow,243,P36
journalism,journalism has journalist as their associated field of occupation.,Which behavior has journalist as thier associated field of occupation ?,journalist,245,P425
Thomas Aquinas,thomas aquinas is the patron saint.,Who is the patron saint of university teacher ?,university teacher,247,P417
English,danny strong can read english.,Which language can Danny Strong read ?,Danny Strong,249,P1412
"Empire, season 2","empire, season 2 is a component of empire",What is a component of Empire ?,Empire,250,P361
Kanchenjunga,kanchenjunga is the highest peak of india.,Which is the highest peak of India ?,India,253,P610
Appias lalage,the taxon appias lalage is endemic to india.,Which taxon is endemic to India ?,India,254,P183
stroke,aurora de albornoz died of a stroke.,What caused the death of Aurora de Albornoz ?,Aurora de Albornoz,261,P509
natural causes,james w. horne died by natural causes.,What situation did James W. Horne die in ?,James W. Horne,262,P1196
Forest Lawn Memorial Park,forest lawn memorial park organization is the tomb of james w.horne,Which organization is the tomb of James W. Horne ?,James W. Horne,263,P119
Natalia,natalia is the place where marvel comics is located.,Which administrative territory is the place where Marvel Comics is located ?,Marvel Comics,265,P276
football,igor degtyaryov participated in football,Which sport did Igor Degtyaryov participate in ?,Igor Degtyaryov,267,P641
Eccleshall,eccleshall shares that border.,Which administrative territory shares border with Stoke-on-Trent ?,Stoke-on-Trent,274,P47
White Line Fever,the collectable white line fever was written by lemmy kilmister.,Which collectable was written by Lemmy Kilmister ?,Lemmy,275,P50
Lepoglava prison,a  situated at lepoglava prison,What is situated at Lepoglava ?,Lepoglava,276,P276
White Line Fever,the white line fever release is named after white line fever,Which release is White Line Fever named after ?,White Line Fever,277,P138
master of the sugar works,entrepreneur is a master of the sugar works.,Which occupation does entrepreneur belong to ?,entrepreneur,279,P425
Spanish,spanish language could be understood by elsa cross.,Which language can Elsa Cross understand ?,Elsa Cross,281,P1412
Martin Andersen Nexø,person has field of work as writer martin andersen nexø.,Which person has field of work as writer ?,writer,283,P101
New York City Council,the new york city council governs new york city.,Which assembly governs New York City ?,New York City,284,P194
John Farrell,john farrell works for boston red sox.,Which person works for Boston Red Sox ?,Boston Red Sox,289,P108
saint,rita of cascia has the name of saint.,Which name does Rita of Cascia have ?,Rita of Cascia,290,P411
portrait,the category is portrait.,What can be considered as category for Raja Surendra Vikram Shah at the age of 15 with his prime minister ?,Raja Surendra Vikram Shah at the age of 15 with his prime minister,292,P136
flag of Nepal,the  flag of nepa is associated with nepal.,What is associated with Nepal ?,Nepal,293,P163
COPEI,cesar perez vivas belongs to the copei party.,Which party does César Pérez Vivas belong to ?,César Pérez Vivas,298,P102
English,english language is spoken by todd sampson.,Which language is spoken by Todd Sampson ?,Todd Sampson,300,P1412
The Gruen Transfer,television program is presented by todd sampson gruen transfer,Which television program is presented by Todd Sampson ?,Todd Sampson,301,P371
Costa Concordia,a type has its base port as italy costa concordia,Which ship type has its base port as Italy ?,Italy,305,P532
Il Canto degli Italiani,il canto degli italiani is the anthem for italy.,Which literary work is the anthem for Italy ?,Italy,306,P85
drama film,drama film can be considered as category for signs of life,What can be considered as category for Signs of Life ?,Signs of Life,309,P136
John David Coles,john david coles directed signs of life.,Who was the director of Signs of Life ?,Signs of Life,310,P57
Homo sapiens,f-box/lrr-repeat protein 14 is in homo sapiens,Which taxon is F-box/LRR-repeat protein 14 found in ?,F-box and leucine rich repeat protein 14,311,P703
Aicardi syndrome,aicardi syndrome afflicts homo sapiens.,Which health problem afflicts Homo sapiens ?,Homo sapiens,313,P689
Bratislava,it expired at bratislava.,Where did Ivan Parík expire ?,Ivan Parík,316,P20
Himnusz,the national anthem of kingdom of hungary is himnusz,What is the national anthem of Kingdom of Hungary ?,Kingdom of Hungary,318,P85
United States of America,united states of america is the country of origin of ain't had enough fun,What is the country of origin of Ain't Had Enough Fun ?,Ain't Had Enough Fun,319,P495
Little Feat,little feat presented by ain't had enough fun,What was presented by Ain't Had Enough Fun ?,Ain't Had Enough Fun,320,P175
Yakov Malkiel,maria rosa lida de malkiel is married to yakov malkiel.,Who is married to María Rosa Lida de Malkiel ?,María Rosa Lida de Malkiel,321,P26
"Archery at the 1920 Summer Olympics – Team moving bird, 28 metres","janus van merrienboer competed in archery at the 1920 summer olympics – team moving bird, 28 metres",Which sporting event did Janus van Merrienboer compete in ?,Janus van Merrienboer,322,P1344
Estadio Azteca,estadio azteca is a notable work of pedro ramírez vázquez.,What is a notable work of Pedro Ramírez Vázquez ?,Pedro Ramírez Vázquez,327,P800
oxidation-reduction process,the oxidation reduction process,What is the metabolic process that dihydrolipoamide dehydrogenase    LA_2886 is involved in ?,Dihydrolipoamide dehydrogenase LA_2886,329,P682
Homo sapiens,apoptosis regulator bcl-2 is found in homo sapiens,Where is Apoptosis regulator Bcl-2 found ?,BCL2 apoptosis regulator,331,P703
cytoplasm,cytoplasm component of dna gyrase subunit a ecumn_2568,What is a component of DNA gyrase subunit A    ECUMN_2568 ?,DNA gyrase subunit A ECUMN_2568,332,P681
DNA gyrase subunit A ECUMN_2568,dna gyrase subunit a ecumn_2568 encodes that dna.,What encodes DNA gyrase subunit A    ECUMN_2568 ?,DNA gyrase subunit A ECUMN_2568,333,P702
Ernst Lubitsch,ernst lubitsch produced it.,Which person is the produced of One Hour with You ?,One Hour with You,334,P162
black-and-white photographic film,black-and-white photographic film color is associated with one hour with you,Which color is associated with One Hour with You ?,One Hour with You,335,P462
Ingeborg Bachmann Award 2016,stefanie sargnagel had participate in ingeborg bachmann award 2016.,Which award did Stefanie Sargnagel participate in ?,Stefanie Sargnagel,336,P1344
federal state,the type of government for australia is federal state.,What is the type of government for Australia ?,Australia,340,P122
"Academy Award for Best Writing, Original Screenplay","mario monicelli was nominated for best writing, original screenplay for academy award",Which film award was Mario Monicelli nominated for ?,Mario Monicelli,344,P1411
Augsburg,augsburg is where he died.,Where did Gottfried Eichler der Jüngere die ?,Gottfried Eichler the Younger,347,P20
Kristin Gore,kristin gore is the author of futurama.,Who is author of Futurama ?,Futurama,348,P800
Yves Pajot,yves pajot marc pajot as their sibling,Who has Marc Pajot as their sibling ?,Marc Pajot,349,P7
Académie de Marine,académie de marine was marc pajot a member of social group,Which social group was Marc Pajot a member of ?,Marc Pajot,350,P463
opera,the genre is opera.,Which aspect of music is the genre for Denis Dufour ?,Denis Dufour,352,P136
harpsichordist,harpsichordist is associated with the field of occupation harpsichord.,Who is associated with the field of occupation harpsichord ?,harpsichord,353,P425
Bartolomeo Cristofori,bartolomeo cristofori was the first person to come up with piano,Which person was the first person to come up with piano ?,piano,355,P61
Paul Englishby,paul englishby composed good cop.,Who composed Good Cop ?,Good Cop,358,P86
football at the 2016 Summer Olympics,football at the 2016 summer olympics sport discipline did allysha chapman participate,Which sport discipline did Allysha Chapman participate in ?,Allysha Chapman,363,P1344
Jonathan Le Tocq,jonathan le tocq is the head.,Which person has Guernsey as its head of government ?,Guernsey,365,P6
France,france is part of junhac administrative territory.,Which administrative territory is Junhac a part of ?,Junhac,367,P17
canton of Montsalvy,the french division the canton of montsalvy has montsalvy as its center of administration.,Which french administrative division has Montsalvy has its center of administration ?,Montsalvy,369,P1376
Russian Empire,russian empire is is the name of the former country.,Which former country is Vladimir Anatolievič Barjatinskij an inhabitant of ?,Vladimir Baryatinsky,371,P27
Anatolij Ivanovič Barjatinskij,anatolij ivanovič barjatinskij was the dad of vladimir anatolievič barjatinskij.,Who was the dad of Vladimir Anatolievič Barjatinskij ?,Vladimir Baryatinsky,372,P22
Moscow,the capital of russian empire moscow,Which administrative territory is called the capital of Russian Empire ?,Russian Empire,373,P36
Vladimir Baryatinsky,vladimir baryatinsky is their offspring.,Which person is an offspring of Anatolij Ivanovič Barjatinskij ?,Anatolij Ivanovič Barjatinskij,374,P40
"Alexander Duff, 1st Duke of Fife","alexander duff, 1st duke of fife is the father of princess alexandra, 2nd duchess of fife","Who was the father of Princess Alexandra, 2nd Duchess of Fife ?","Princess Alexandra, 2nd Duchess of Fife",376,P22
Germany,hans kaiser is living in the political territory germany.,Which political territory is Hans Kaiser an inhabitant of ?,Hans Kaiser,377,P27
2005 German federal election,2005 german federal election is the name of the election.,Which is the election from where Angela Merkel was elected from ?,Angela Merkel,379,P991
Christian Democratic Union,angela merkel is a member of the christian democratic union.,Which political party is Angela Merkel a member of ?,Angela Merkel,380,P102
endomembrane system,the vacuole is a part of the endomembrane system.,What is vacuole a part of ?,vacuole,384,P361
Cao Cao,cao cao has a child named cao mao,Which male person has a child named Cao Mao ?,Cao Mao,386,P22
"Princess Margaret, Countess of Snowdon","princess margaret, countess of snowdon is the sister of elizabeth ii.",Who is the sister of Elizabeth II ?,Elizabeth II,390,P9
Princess Charlotte of Cambridge,princess charlotte of cambridge is a relative of elizabeth ii,Which person is a relative of Elizabeth II ?,Elizabeth II,391,P1038
Charles Blomfield,charles blomfield has arthur blomfield as a child.,Who has Arthur Blomfield as a child ?,Arthur Blomfield,393,P40
color,sharpay's fabulous adventure  is associated  with color,Which color is associated with Sharpay's Fabulous Adventure ?,Sharpay's Fabulous Adventure,395,P462
Ashley Tisdale,ashley tisdale is in sharpay's fabulous adventure,Which person is in Sharpay's Fabulous Adventure ?,Sharpay's Fabulous Adventure,396,P161
Picture This,picture this is composed by ashley tisdale.,Which television program was composed by Ashley Tisdale ?,Ashley Tisdale,397,P86
English,english was the language originally used for the creation of ...and justice for all.,Which language was used originally for the creation of ...And Justice for All ?,...And Justice for All,398,P364
Independent Social Democratic Party of Germany,josef böhm belongs to  independent social democratic party of germany,Which party does Josef Böhm belong to ?,Josef Böhm,403,P102
Australia,mount beddome  is present in australia political territory.,Which political territory is Mount Beddome present in ?,Mount Beddome,404,P17
Maja Einstein,albert einstein is sibling of maja einstein.,Who is Albert Einstein a sibling of ?,Albert Einstein,406,P9
