"Index","UID1","Ques1","Ans1","UID2","Ques2","Ans2"
"35","569","Where did Nicolas Bachelier die ?","Toulouse","8278","Which watercourse is located in the neighbourhood of Nicosia ?","Pedieos"
"36","5292","Which person has Fougerolles as the location of death ?","Auguste Peureux","8471","Which group of objects is situated nearby Canada ?","Great Lakes"
"37","7583","Which person expired at Fischingen ?","August Hug","2344","Which publication has Belgium as its release location ?","Res Publica"
"38","10272","Who died in Sainte-Livrade-sur-Lot ?","Pierre-André de Gélas de Léberon","2656","What was published in Washington, D.C. ?","Dictionary of American Naval Aviation Squadrons Volume I: The History of VA, VAH, VAK, VAL, VAP and VFA Squadrons"
"39","23977","Where did the demise of Curtis McClarin occur ?","New York City","16899","Which administrative territory is the place of publication of El Socialista ?","France"
"40","219","Which administrative territory does member of the State Senate of Wisconsin belong to ?","United States of America","50244","Where was La Marseillaise published ?","Strasbourg"
"41","367","Which administrative territory is Junhac a part of ?","France","982","What is the degree held by Karl-Heinz Best ?","doctorate"
"42","404","Which political territory is Mount Beddome present in ?","Australia","3560","What degree or diploma was awarded to Karl-Sigismund Kramer ?","doctorate"
"43","5030","Which political territory does Cabinet of Germany belong to ?","Germany","4442","What degree does Johann Erich Biester hold ?","Doctor of Laws"
"44","9739","Which geographic location is located in Seleucid Empire ?","Coele-Syria","2837","Which application is an extension GoldenEye ?","GoldenEye 007"
"45","11663","Which state is Order of Karl Marx located in ?","German Democratic Republic","3352","Which television series is derived from Romance of the Three Kingdoms ?","Sangokushi"
"46","21399","Which regime is Jerusalem situated in ?","State of Palestine","3864","Which event builds on English ?","Loglan"
"47","30791","Which aerodromes are present in Gabon ?","Libreville International Airport","5187","Which abstract being is based on Mus musculus ?","Pikachu"
"48","58710","Which method is situated in architect ?","Fountain de la Abundancia","5202","Which concept does pop music extend upon ?","rock and roll"
"49","216","Which occupation was a position for which Harold V. Schoenecker was appointed ?","member of the State Senate of Wisconsin","8055","Which ship type is Kitty Hawk-class aircraft carrier based on ?","Forrestal-class aircraft carrier"
"50","565","What was the position held by Fabio Calzavara ?","member of the Chamber of Deputies of the Italian Republic","11574","Which work of art is adapted from Thor ?","Thor XXX: An Axel Braun Parody"
"51","947","Which person held the position of Labour Party ?","Jo Richardson","16106","Which theatrical genre is based on Sunset Boulevard ?","Sunset Boulevard"
"52","1601","Which public office was a position occupied by Bartolomeo Gradenigo ?","Doge of Venice","17726","Which collectable is Harry Potter and the Chamber of Secrets considered a copy of ?","Harry Potter and the Chamber of Secrets"
"53","140","Where is Hug1p YML058W-A found ?","Saccharomyces cerevisiae S288c","18969","Which book series is Tales from Earthsea a fork of ?","Earthsea series"
"54","790","Which taxon is Solute carrier family 7 member 13 found in ?","Homo sapiens","23204","Where is The Piano Lesson adapted from ?","The Piano Lesson"
"55","1373","Where is Apoptosis regulator Bcl-2 found ?","Homo sapiens","609","What was the cause of death of Tadeusz Kościuszko ?","stroke"
"56","1695","Which taxon is glutamate synthase subunit alpha    EAE_04490 a part of ?","Enterobacter aerogenes KCTC 2190","2952","How did Dmitri Bystrov die ?","pneumonia"
"57","2289","What is the taxon to which hypothetical protein    LBA0965 belongs to ?","Lactobacillus acidophilus NCFM","34244","Which person had World War I as cause of death ?","István Mudin"
"58","2722","Which infraspecific name is PTS cellbiose transporter subunit IIC    lmo2708 found in ?","Listeria monocytogenes EGD-e","201","What is considered to be the official language of Switzerland ?","Italian"
"59","3057","Where is cbb3-type cytochrome c oxidase subunit I    Cj1490c found ?","Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","7769","Which religious denomination is known to have Old Church Slavonic as its official language ?","Macedonian Orthodox Church – Ohrid Archbishopric"
"60","3651","Where is NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial found ?","Homo sapiens","179","Which military branch is George Nares affiliated to ?","Royal Navy"
"61","4152","Which taxon is AT-rich interactive domain-containing protein 3A found in ?","house mouse","2144","Which military branch did Philip St. George Cooke belong to ?","United States Army"
"62","4967","Which taxon is Serine/threonine-protein kinase ULK3 found in ?","Homo sapiens","5925","Which military branch contains Stanley Jackson as its part ?","British Army"
"63","5634","Which taxon is Transcription termination factor 3, mitochondrial found in ?","Homo sapiens","7828","Which military branch was Mark Griffin a part of ?","British Army"
"64","5782","Where is Zinc finger BED domain-containing protein 1 found ?","Homo sapiens","2852","Which concept is located in Finland ?","Asbestos-ceramic"
"65","8557","Where is 50S ribosomal protein L14    CT_518 found ?","Chlamydia trachomatis D/UW-3/CX","3122","Which organization has its location as Paris ?","Gang Studio"
"66","10043","Which taxon is Trafficking protein particle complex subunit 2 found in ?","Homo sapiens","3751","Which territory is Moscow located on ?","East European Plain"
"67","10935","Which taxon does hypothetical protein    spr1597 belong to ?","Streptococcus pneumoniae R6","4465","What is the location where Moscow is located ?","East European Plain"
"68","12449","Which taxon is Probable E3 ubiquitin-protein ligase HECTD2 found in ?","house mouse","11614","Which is the body of water in which Corfu is located on ?","Ionian Sea"
"69","14488","Which taxon is Cytochrome P450 4Z1 found in ?","Homo sapiens","1604","Who is the creator of Horses of Saint Mark ?","Lysippos"
"70","14690","Which taxon does PTS system cellobiose-specific transporter subunit IIC    LBA1912 belong to ?","Lactobacillus acidophilus NCFM","2875","Who created C. Auguste Dupin ?","Jean Carlos"
"71","15159","Which taxon is DNA primase    BU056 found in ?","Buchnera aphidicola str. APS (Acyrthosiphon pisum)","6397","Which works were created by Google ?","Google NetPAC"
"72","15747","Where is Rap1 GTPase-activating protein 2 found ?","house mouse","10208","Which Middle-earth races is credited with creation of Cirth ?","Daeron"
"73","17357","Where is RWD domain-containing protein 3 found ?","Homo sapiens","16999","Which person is the creater of Fractio Panis ?","anonymous"
"74","17894","Where is GPI mannosyltransferase 2 found ?","house mouse","20085","What was developed by Munich ?","Richard Knox Olney"
"75","18834","Where is Solute carrier family 2, facilitated glucose transporter member 3 found ?","Homo sapiens","32794","What did Shakira make ?","Oral Fixation Volumes 1 & 2"
"76","20400","Which taxon is D(2) dopamine receptor found in ?","Homo sapiens","6605","Who delivered the performance of Jackson Rathbone ?","Jasper Hale"
"77","20675","Which taxon is glycerol-3-phosphate dehydrogenase    CT_714 found in ?","Chlamydia trachomatis D/UW-3/CX","9664","What was performed by Turbulent Indigo ?","Joni Mitchell"
"78","20700","Which taxon does 2-isopropylmalate synthase    Rv3710 belong to ?","Mycobacterium tuberculosis H37Rv","12728","What was staged by Zero carboidrati ?","Immanuel Casto"
"79","21583","Which taxon is Tumor suppressor p53-binding protein 1 found in ?","house mouse","12983","Who performed Javier Bardem ?","Silva"
"80","22704","Which taxon is ATP-dependent Clp protease proteolytic subunit    SSA_1731 found in ?","Streptococcus sanguinis SK36","14008","Which literary work performed composer ?","Hosanna"
"81","23200","Where is ATP synthase F0F1 subunit gamma    SSA_0787 found ?","Streptococcus sanguinis SK36","17286","Which literary work presented composer ?","Hosanna"
"82","23909","Which taxon is Protein CIP2A found in ?","house mouse","18275","What did Full Circle perform ?","Xzibit"
"83","24641","Where is chemotaxis protein CheA    AHA_1036 found ?","Aeromonas hydrophila subsp. hydrophila ATCC 7966","20653","Which release presented Doug Clifford ?","Cosmo"
"84","24783","Where is 30S ribosomal protein S3    FP1333 found ?","Flavobacterium psychrophilum JIP02/86","21792","Which release performed Bruce Channel ?","Hey! Baby"
"85","25453","Which taxon is ABC-type molybdate uptake system permease component ModB    SO_4447 found in ?","Shewanella oneidensis MR-1","23088","What was presented by Enter Sandman ?","Metallica"
"86","26724","Where is ABC transporter    Moth_2429 found ?","Moorella thermoacetica ATCC 39073","2087","Which work has Germany as its finally place of assembly ?","FE-Schrift"
"87","26838","Which taxon is sensory box histidine kinase    DVU3152 found in ?","Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough","2462","Which administrative territory is the final place of assembly of RV Polarstern ?","Kiel"
"88","27043","Where is signal transduction histidine kinase    Rru_A3288 found ?","Rhodospirillum rubrum ATCC 11170","662","Which nucleic acid sequence is an orthologous gene for Cc2d2a ?","CC2D2A"
"89","28136","Where is E3 ubiquitin-protein ligase RNF169 found ?","house mouse","1719","What is the name of the species that has HTR2A as its orthologous gene ?","Htr2a"
"90","31136","Which taxon is thymidylate synthase complementing protein    aq_640 found in ?","Aquifex aeolicus VF5","3060","What is an otrhologus gene for Lemd2?","LEMD2"
"91","31595","Where is DNA-directed RNA polymerase subunit alpha    DR_2128 found ?","Deinococcus radiodurans R1","1863","What event is Germany associated with ?","Treaty on the Final Settlement with Respect to Germany"
"92","32159","Where is inosine-5'-monophosphate dehydrogenase    lpg1723 found ?","Legionella pneumophila subsp. pneumophila str. Philadelphia 1","2891","What is a significant event associated with Japan ?","2002 FIFA World Cup"
"93","32277","Where is tRNA pseudouridine synthase B    tlr1606 found ?","Thermosynechococcus elongatus BP-1","38894","Which person is professor a significant event of ?","Richard Duffin"
"94","32441","Which taxon is ADP-ribosylation factor 6 found in ?","Homo sapiens","41871","Which education has spaceflight as a significant event ?","Student Spaceflight Experiments Program"
"95","34058","Where is Ankyrin repeat and SOCS box protein 4 found ?","Homo sapiens","63324","Which administrative territory is 1998 Winter Olympics a key event of ?","Japan"
"96","34683","Where is GTP-binding protein LepA    HMPREF0351_11543 found ?","Enterococcus faecium DO","2127","Which title was the military rank held by Carlo Filangieri ?","general officer"
"97","37071","Which taxon does sensor protein PhoQ    ECUMN_1373 belong to ?","Escherichia coli UMN026","3644","What is the title conferred upon Henry Brackenbury ?","general"
"98","37689","Where is RNA polymerase sigma-54 factor    SRU_1147 found ?","Salinibacter ruber DSM 13855","5385","Which title has Wilhelm Bohnstedt achieved ?","Generalleutnant"
"99","37798","Where is hypothetical protein    BT_3390 found ?","Bacteroides thetaiotaomicron VPI-5482","1521","Which sports award was Dirk Nowitzki nominated for ?","Laureus World Sports Award for Sportsman of the Year"
"100","37955","Where is DNA polymerase subunit gamma-2, mitochondrial found ?","house mouse","3309","Which film award was Televisió de Catalunya a recipient of ?","Goya Award for Best Animated Film"
"101","38159","Where is spermidine/putrescine ABC transporter ATPase    Smed_2167 found ?","Sinorhizobium medicae WSM419","10069","Which film award does John Myhre have ?","Academy Award for Best Production Design"
"102","39497","Where is cysteine--tRNA ligase    BB_0599 found ?","Borrelia burgdorferi B31","13187","Which film award did The Bridge of San Luis Rey receive ?","Academy Award for Best Original Dramatic or Comedy Score"
"103","41174","Where is Iron-sulfur cluster co-chaperone protein HscB, mitochondrial found ?","house mouse","395","Which color is associated with Sharpay's Fabulous Adventure ?","color"
"104","42778","Which taxon is Germinal center-associated signaling and motility protein found in ?","house mouse","3125","Which color is Threesome associated with ?","color"
"105","43174","Where is Tripartite motif-containing protein 10 found ?","house mouse","5256","What is the color of flag of El Salvador ?","white"
"106","43363","Where is imidazole glycerol phosphate synthase subunit HisH    Psyr_4896 found ?","Pseudomonas syringae pv. syringae B728a","59796","Which coat of arms is gold in color ?","flag of the Armenian Soviet Socialist Republic"
"107","43546","Which taxon does 50S ribosomal protein L3    HMPREF0351_10057 belong to ?","Enterococcus faecium DO","2113","Which work of art had United States of America as the production house ?","Crustacés et Coquillages"
"108","44501","Which taxon does two-component system sensor kinase    AHA_0758 belong to ?","Aeromonas hydrophila subsp. hydrophila ATCC 7966","3743","Who was the producer of The Farewell ?","Cinematograph"
"109","45727","Which taxon does serine/threonine protein kinase    BSU02030 belong to ?","Bacillus subtilis subsp. subtilis str. 168","16183","Which visual arts was produced by Ubisoft ?","Assassin's Creed: Lineage"
"110","45795","Which taxon does NAD-dependent DNA ligase LigA    SAG0850 belong to ?","Streptococcus agalactiae 2603V/R","23626","Which film studio was the production company of Harry Potter and the Deathly Hallows – Part 2 ?","Warner Bros."
"111","46366","Where is Centrosomal protein of 120 kDa found ?","house mouse","31176","Which organization produces Lara Croft: Tomb Raider ?","Mutual Film"
"112","46602","Which taxon is Transient receptor potential cation channel subfamily V member 4 found in ?","house mouse","34781","Who produced Barbie in A Mermaid Tale 2 ?","Mattel"
"113","47076","Which taxon is oligopeptide transport system permease    aq_1509 found in ?","Aquifex aeolicus VF5","41948","Which film genre was released from the production company named Douglas Fairbanks ?","When the Clouds Roll By"
"114","47491","Which taxon is DNA-binding transcriptional regulator    VC2760 found in ?","Vibrio cholerae O1 biovar El Tor str. N16961","733","What is accepted as the currency of Russia ?","Soviet ruble"
"115","47818","Which taxon does tRNA (5-methylaminomethyl-2-thiouridylate) -methyltransferase    FN0765 belong to ?","Fusobacterium nucleatum subsp. nucleatum ATCC 25586","2338","What is the stadium occupied by association football ?","Estádio Municipal Radialista Mário Helênio"
"116","47921","Which taxon does acetyl-CoA carboxylase carboxyltransferase subunit alpha    SRU_2348 belong to ?","Salinibacter ruber DSM 13855","2382","What is occupied by Section Paloise ?","Stade du Hameau"
"117","48711","Which taxon is dihydrolipoamide dehydrogenase    glr3029 found in ?","Gloeobacter violaceus PCC 7421","9088","Which sports venue is inhabited by 2002 FIFA World Cup ?","Daegu Stadium"
"118","49670","Where is V-type ATP synthase subunit B    CD630_29550 found ?","Peptoclostridium difficile 630","28899","Who is an occupant of Deodoro Arena ?","Fencing at the Summer Olympics"
"119","51319","Where is deoxyribonucleotide triphosphate pyrophosphatase    CT0330 found ?","Chlorobium tepidum TLS","42405","Who was the tenant of Jerusalem Arena ?","Hapoel Jerusalem B.C."
"120","53263","Where is isocitrate dehydrogenase    BP2488 found ?","Bordetella pertussis Tohama I","2402","Who developed Sonic the Hedgehog ?","Sonic Team"
"121","53380","Which taxon is ribonuclease Z    SSA_1430 found in ?","Streptococcus sanguinis SK36","3727","Which profession produced Red Orchestra 2: Heroes of Stalingrad ?","Tripwire Interactive"
"122","54156","Where is 40S ribosomal protein S12 found ?","Homo sapiens","6476","Which application was developed by actor ?","Day of Love"
"123","54161","Which taxon is hypothetical protein    BT_3569 found in ?","Bacteroides thetaiotaomicron VPI-5482","7739","Which profession developed High Voltage Hot Rod Show ?","High Voltage Software"
"124","54293","Which taxon is RNA-binding protein 28 found in ?","house mouse","9041","Who produced Mechanized Assault & Exploration 2 ?","Interplay Entertainment"
"125","54358","Where is PR domain zinc finger protein 14 found ?","house mouse","14796","Who is credited with development of GT Legends ?","SimBin Studios"
"126","54883","Where is PTS system fructose-specific transporter subunit IIA    VPA0298 found ?","Vibrio parahaemolyticus RIMD 2210633","14962","Which organization developed Bomberman Tournament ?","Hudson Soft"
"127","55246","Where is Serine/threonine-protein kinase ULK4 found ?","house mouse","15586","What was produced by actor ?","Day of Love"
"128","55368","Where is RSL24D1 found?","Homo sapiens","24497","What was created by actor ?","Day of Love"
"129","57618","Which taxon is cation efflux system protein    BT_4694 found in ?","Bacteroides thetaiotaomicron VPI-5482","24683","What was manufactured by BBC ?","BBC iPlayer"
"130","58550","Where is Amyloid beta A4 protein found ?","Homo sapiens","27049","Which business organization produced Microsoft Windows ?","Microsoft"
"131","58653","Where is Homeobox protein DLX-4 found ?","house mouse","2643","Which person was the supervisor of Manolis Andronikos ?","John Beazley"
"132","59011","Which taxon does ATP-dependent DNA helicase UvrD    CLC_2031 belong to ?","Clostridium botulinum A str. Hall","5822","Which person was advised by Richard Lindner ?","Nancy Grossman"
"133","59149","Where is NAD-dependent protein lipoamidase sirtuin-4, mitochondrial found ?","house mouse","7116","Which person is a student of Petrarch ?","Giovanni Malpaghini"
"134","59734","Where is Ras-related protein Rap-1A found ?","Homo sapiens","7302","Who was the teacher of Robert Stolz ?","Robert Fuchs"
"135","60677","Where is Transmembrane emp24 domain-containing protein 11 found ?","house mouse","7905","Who is a pupil of David ?","Ahijah the Shilonite"
"136","61131","Which taxon is Ras-GEF domain-containing family member 1A found in ?","Homo sapiens","17885","Who taught Hubert Kiesewetter ?","Karl Popper"
"137","61400","Which taxon is adenylosuccinate lyase    Cj1394 found in ?","Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","2123","Which musical instrument can Jérôme Pernoo perform with ?","cello"
"138","63072","Which taxon is gamma-aminobutyrate transporter    ECIAI39_2851 found in ?","Escherichia coli IAI39","4278","Which musical instrument does Éric Teruel know to play ?","piano"
"139","63415","Where is F0F1 ATP synthase subunit epsilon    ECIAI39_4335 found ?","Escherichia coli IAI39","6665","Which musical instrument is played by Maurice Baquet ?","cello"
"140","64230","Where is glycerol kinase    DVU3134 found ?","Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough","2670","What was built by South Korea ?","Tomas Batillo-class patrol craft"
"141","104","What is Johnny Brooks a member of ?","England national football team","2880","Which software is the producer of Nintendo DS ?","Nintendo"
"142","1999","Which sports team has Eberhard Janotta as its member ?","Stahl Hennigsdorf Rugby","4958","Which ship type was manufactured by Spain ?","Ictineo II"
"143","176","Which language is Darío Fernández capable of writing ?","Spanish","6435","Which organization is the manufacturer of RMS Aquitania ?","John Brown & Company"
"144","281","Which language can Elsa Cross understand ?","Spanish","6787","What was produced by United Kingdom ?","Japanese warship Hōshō"
"145","1133","Which language is spoken by Nino Tamassia ?","Italian","25029","Who is the maker of Wii ?","Hon Hai Precision Industry"
"146","1699","Which language does Norman Naimark speak in ?","English","5616","Who was the chairperson of Massachusetts Institute of Technology ?","L. Rafael Reif"
"147","8020","Which language family can Aida Touma-Suleiman understand ?","Hebrew","9359","Which nonprofit organization is Elizabeth II a chairperson of ?","Royal Society for the Prevention of Cruelty to Animals"
"148","34252","Who talks in Turkey ?","Tsetska Tsacheva","9974","Who was the chair of Democratic Party ?","Debbie Wasserman Schultz"
"149","155","Which party is Ramón Rosa affiliated with ?","Liberal Party of Honduras","10203","Which association has Josef Ertl as its chairperson ?","FDP Bayern"
"150","403","Which party does Josef Böhm belong to ?","Independent Social Democratic Party of Germany","13195","Who chaired Nazi Party ?","Anton Drexler"
"151","511","Which political party is Hans Daniels a member of ?","Christian Democratic Union","18385","Which political organization does Iran lead ?","Socialist Workers’ Party of Iran"
"152","43751","Which party is Charles S. Whitman affiliated with ?","Republican Party","18541","Which international organization does Elizabeth II serve as a chairman for ?","Commonwealth of Nations"
"153","2132","Who shares the border with Val Müstair ?","Valdidentro","2137","Who serves as the distributor of Post Mortem ?","Microïds"
"154","4804","Which administrative territory is bordered by Ratingen ?","Düsseldorf","3728","Who is Red Orchestra 2: Heroes of Stalingrad distributed by ?","Valve Corporation"
"155","5146","Which administrative country subdivision is adjacent to New Delhi ?","Central Delhi district","7378","Who has Japan as its distributor ?","Dance Dance Revolution SuperNova"
"156","12443","Which state does Kingdom of Prussia share a border with ?","Austrian Empire","8404","Who distributes Resident Evil: Revelations 2 ?","Capcom"
"157","41535","Which administrative territory shares border with Mülheim an der Ruhr ?","Oberhausen","20827","Which application is Japan a distributor of ?","Dance Dance Revolution SuperNova"
"158","45502","Which city is next to the border of Mainz ?","Wiesbaden","26202","Who does United States of America serve as a distributor for ?","High School Musical 2"
"159","178","Which school is George Nares an alumni of ?","Royal Naval School","21807","Which political territory has diplomatic relationships with Hungary ?","Germany"
"160","217","Which university is the alma mater of Harold V. Schoenecker ?","Marquette University Law School","35353","Which regime has diplomatic relations with Czechoslovakia ?","Belarusian People's Republic"
"161","786","Where was Sir John St Aubyn, 3rd Baronet educated ?","Exeter College","7007","Which tower block has its designs created by John Mead Howells ?","Daily News Building"
"162","922","What is the nonprofit organization where Careen M. Gordon was educated ?","John Marshall Law School","9201","Which person designed the architecture of Nottingham Cathedral ?","Augustus Pugin"
"163","1540","Which educational institution was Kieran Marmion educated at ?","Kirkham Grammar School","12426","Which tower block was England the designer of ?","UBL Tower"
"164","12245","What is the school where Johanna Petronella Catharina Antoinetta Koster was educated ?","Académie Julian","14305","What was Heikki Taskinen an architect of ?","Pitkäkangas School"
"165","19622","Who was a student at teacher ?","Fortino Gómez Salazar","14840","Who architected St Beuno's Ignatian Spirituality Centre ?","Joseph Hansom"
"166","20488","Which nonprofit organization was Chang Tsung-hsien educated at ?","Brigham Young University Hawaii","15355","Who is the architect of Einsteinhaus Caputh ?","Konrad Wachsmann"
"167","21448","Who was educated at India ?","D N Dhanagare","16674","What was designed by France ?","Amar Mahal Palace"
"168","41724","Who is an alumni of India ?","D N Dhanagare","56591","Who is the designer of Père Lachaise Cemetery ?","Alexandre-Théodore Brongniart"
"169","54172","What is the high school where Sheldon Leonard was educated?","Stuyvesant High School","2448","Which person was the doctoral advisor of James S. Langer ?","Rudolf Peierls"
"170","56316","Who studied at Australia ?","Jennifer Gidley","11496","Which person has Gian-Carlo Rota as doctoral advisor ?","Richard P. Stanley"
"171","90","Which name is associated with Wilhelm Bauer ?","Bauer","14731","Who has Åke Pleijel as advisor for his/her doctoral work ?","Jaak Peetre"
"172","133","Who has the surname Tony James ?","James","1038","Which cultural movement was Saint Jerome in a Cave linked with ?","German Renaissance"
"173","14607","Who is associated with Dominique Janssen ?","Janssen","2358","Which concept was Giovanni Battista Buonamente associated with ?","baroque music"
"174","203","Which surface is Antarctica a component of ?","Earth's surface","5353","Which abstract noun did Etienne Vermeersch belong to","atheism"
"175","673","What is film director a part of ?","film crew","6504","Which technics was collage associated with ?","appropriation"
"176","1871","What are a component of Harvard University ?","President of Harvard University","21031","Which periodical literature is associated with Christianity ?","First Things"
"177","4081","Which research institute is a portion of Tufts University ?","Global Development and Environment Institute","28236","Which person is linked with Marxism–Leninism ?","Carlos the Jackal"
"178","4773","Which text is a part of mitochondrion ?","DNA","8898","Which abstract being is featured in The Nut Job ?","Raccoon"
"179","13171","What is a component of association football ?","association football match","12140","Which work is Pikachu present in ?","Pokémon"
"180","54146","What is member of the Chamber of Deputies of Chile a portion of ?","Chamber of Deputies","20646","Where does Stringer Bell appear ?","The Wire"
"181","231","What was received by Stirling Moss ?","Officer of the Order of the British Empire","27936","Which fictional character is present in Mother 3 ?","Lucas"
"182","1145","Which military decoration was Michael J. Connor awarded with ?","Legionnaire of Legion of Merit","37515","Which work features Pikachu ?","Pokémon"
"183","1262","What was awarded to Ursula Ragwitz ?","Banner of Labor","46022","Which fictional character appears in Garfield Gets Real ?","Garfield"
"184","1696","What was won by Rudolf Ising ?","Academy Award for Best Animated Short Film","49511","Which fictional mammal is from the works of The Monkey King ?","Sun Wukong"
"185","10032","Which business enterprise was honoured with Satellite Award for Best Miniseries ?","CBS","56291","Where is Pikachu shown in ?","Pokémon"
"186","525","Which nucleic acid sequence encodes Serine/threonine-protein kinase/endoribonuclease IRE2 ?","ERN2","391","Which person is a relative of Elizabeth II ?","Princess Charlotte of Cambridge"
"187","766","What is the gene that encodes Centrosomal protein of 70 kDa ?","Cep70","7492","Which fictional humanoid is related to Granny Smith ?","Apple Bloom"
"188","2770","What encodes Thromboxane A2 receptor ?","Tbxa2r","17550","Who is a kin of Miitta Sorvali ?","Tuomas Holopainen"
"189","3965","Which gene encodes Ino4p YOL108C ?","INO4","23547","Which person is related with Elisabeth of Bohemia ?","John III, Burgrave of Nuremberg"
"190","5365","Which gene encodes 30S ribosomal protein S7    CTL0697 ?","30S ribosomal protein S7 CTL0697","49184","Who are kins of Vladimir Putin ?","Roman Putin"
"191","6119","Which gene encodes putative rRNA methylase    EAE_06240 ?","putative rRNA methylase EAE_06240","3046","Which solution is used to construct Croatian Apoxyomenos ?","bronze"
"192","6340","What gene does Wnt2 encode ?","Wingless-type MMTV integration site family, member 2","3294","Which rock is used to produce Orpheus ?","marble"
"193","13980","What encodes ATP-dependent DNA helicase RecG    CT1575 ?","ATP-dependent DNA helicase RecG CT1575","5192","Which artistic technique is constructed collage ?","Paesaggio Con Totem"
